parameter,T005_contaminated,T007_clean,delta,pct_change
kappa_SW,257761.9821,266189.527,8427.5448,3.27
kappa_DW,237724.8535,205812.234,-31912.6195,-13.42
K_SW,5.6571,5.542,-0.1151,-2.03
K_DW,3.8163,3.8484,0.0321,0.84
gamma_price,-2.0343,-1.1143,0.92,45.22
gamma_risk,0.0799,0.0687,-0.0112,-13.97
log_likelihood,-252799.77,-218097.435,34702.335,
N_obs,2282735,2282735,0,
