Model,Coefficient,SE,P_Value,P_Label,N,R2
Narrow (0-30d),-0.0014909067768661,0.000949037921375989,0.133602401958862,0.1336,6034224,0.0607854922276696
Primary (0-60d),-0.00173461286813298,0.00118811377530237,0.16153154014524,0.1615,6034224,0.0624504879020034
Wide (0-90d),-0.00188682589502618,0.00132915818066274,0.172821464782381,0.1728,6034224,0.0632467666448143
