term,coef,se,t_stat,p,rel_year,coef_pp,ci_lo_pp,ci_hi_pp,period,pooled
ry_pool_pre,-0.00621380350300878,0.00511306278821965,-1.21528010908163,0.241888439763185,-8,-0.621380350300878,-1.62354065679193,0.380779956190173,Pre,1
ry_m7,-0.00816037063145006,0.00416534926662726,-1.95910837461599,0.0677628443189468,-7,-0.816037063145006,-1.63244551940395,0.000371393113937461,Pre,0
ry_m6,-0.00911197700676173,0.00316962786014322,-2.87477817864398,0.0110016997503909,-6,-0.911197700676173,-1.53244476126424,-0.289950640088101,Pre,0
ry_m5,-0.00689665464545597,0.00284631352442746,-2.42301299075732,0.0276230027638196,-5,-0.689665464545597,-1.24754291533338,-0.131788013757815,Pre,0
ry_m4,-0.00668286223917576,0.00213087030090671,-3.13621257771162,0.00637700481283697,-4,-0.668286223917576,-1.08593680289529,-0.250635644939862,Pre,0
ry_m3,-0.00351340742423657,0.0018266182457937,-1.92344921131012,0.0724038602956336,-3,-0.351340742423657,-0.709357918599224,0.00667643375190873,Pre,0
ry_m2,-0.0049105837834419,0.00130998167316969,-3.74858968183887,0.00175297194510553,-2,-0.49105837834419,-0.747814786285448,-0.234301970402932,Pre,0
ref_year,0,0,0,,-1,0,0,0,Ref,0
ry_0,0.00460072559363394,0.000713070799928225,6.45198989230386,0.00000799341673619875,0,0.460072559363394,0.320310682577462,0.599834436149326,Post,0
ry_1,0.000129901089256718,0.00069792897457282,0.186123651530912,0.854687080374528,1,0.0129901089256718,-0.123803970090601,0.149784187941945,Post,0
ry_2,0.00106594170725738,0.00122537943342706,0.869887055535301,0.397225086979642,2,0.106594170725738,-0.133580198225965,0.346768539677441,Post,0
ry_3,0.00345479561511659,0.00142583286658287,2.42300180903832,0.0276236190884447,3,0.345479561511659,0.0660163196614163,0.624942803361901,Post,0
ry_4,0.000332942567748639,0.00202538916524629,0.164384491366701,0.871487229037378,4,0.0332942567748639,-0.363682019613409,0.430270533163137,Post,0
ry_5,0.00540665862779953,0.00187642601577212,2.88135987369307,0.0108526241491816,5,0.540665862779953,0.172886363688619,0.908445361871288,Post,0
ry_6,-0.000195601112316647,0.00235183340265145,-0.083169629318185,0.934748315512227,6,-0.0195601112316647,-0.480519458151348,0.441399235688019,Post,0
ry_7,0.00277276865221802,0.00277543635802587,0.99903881571626,0.332646193873309,7,0.277276865221802,-0.266708660951269,0.821262391394873,Post,0
ry_8,0.00511121996114247,0.00271836390037847,1.88025597324584,0.0784056707191588,8,0.511121996114247,-0.0216773283599327,1.04392132058843,Post,0
ry_9,0.00281623462754126,0.00322055364175214,0.874456674476966,0.394806405541187,9,0.281623462754126,-0.349605051029294,0.912851976537546,Post,0
ry_10,0.0010839140935881,0.00292940747085907,0.370011377512543,0.716226145281572,10,0.10839140935881,-0.465772454929568,0.682555273647187,Post,0
ry_11,-0.0034765774959721,0.00317760388720081,-1.09408775271693,0.290114766444632,11,-0.34765774959721,-0.970468111488568,0.275152612294148,Post,0
ry_12,0.00149769512277047,0.00381982475818544,0.392084772884171,0.700168890542486,12,0.149769512277047,-0.598916140327298,0.898455164881392,Post,0
ry_13,0.00091883582031177,0.00449501207089784,0.204412314320713,0.84060886248932,13,0.091883582031177,-0.7891387838648,0.972905947927154,Post,0
ry_14,0.0026189000676613,0.00404839754213097,0.646897949227284,0.526870317189245,14,0.26189000676613,-0.53159591149154,1.0553759250238,Post,0
ry_pool_post,0.00769953985304998,0.00386478412204272,1.99223025398387,0.0636938966867616,15,0.769953985304998,0.0124562973846259,1.52745167322537,Post,1
