margin,term,odds_ratio,coef,se,p,n_states_RB
Exit,regime_RB,1.1689675765537,0.156120946051986,0.18668407507016,0.402995028514745,1
Exit,regimeRB:SW,1.48033738581912,0.392270025187616,0.221251197457732,0.0762349591422336,1
Replace-upgrade,regime_RB,0.000165290065193201,-8.707808656618,0.774846687081655,2.6500903744472e-29,1
Replace-upgrade,regimeRB:SW,13609.0755589822,9.51849216967821,0.892315842104635,1.44961824162419e-26,1
Replace-samewall,regime_RB,1.98529863088747,0.685769346595651,0.338131774527663,0.0425487469083225,1
Replace-samewall,regimeRB:SW,0.903548264978127,-0.101425750367657,0.327571634751768,0.756842931804829,1
Downsize,regime_RB,0.615185978033401,-0.48583065358394,0.187033157296261,0.0093887538299106,1
Downsize,regimeRB:SW,1.01225030002307,0.0121758723223544,0.187459355586721,0.948212165889592,1
