E_label,E_dollars,s,K_eff,Converged,AvgP_M,AvgP_E,AvgP_R,FirmSurplus,ExternalPV,GovtOutlayPV,SocialWelfare
HEALTH_ONLY,17000,-0.5,7.76689178215413,TRUE,0.981368215251174,0.0184526714771444,0.000179113271681915,30.7126881960695,0.371936435629402,-0.00927435598600668,30.3500261164262
HEALTH_PLUS_UNMEASURED,50000,-0.5,7.76689178215413,TRUE,0.981368215251174,0.0184526714771444,0.000179113271681915,30.7126881960695,1.09393069302765,-0.00927435598600668,29.6280318590279
HEALTH_ONLY,17000,-0.400666666666667,7.25255094858036,TRUE,0.9811742275956,0.0185245215268407,0.000301250877559345,30.7110698504322,0.350738251103966,-0.0124996405523086,30.3728312398805
HEALTH_PLUS_UNMEASURED,50000,-0.400666666666667,7.25255094858036,TRUE,0.9811742275956,0.0185245215268407,0.000301250877559345,30.7110698504322,1.03158309148225,-0.0124996405523086,29.6919863995023
HEALTH_ONLY,17000,-0.301333333333333,6.7382101150066,TRUE,0.980862191446366,0.0186296477850142,0.000508160768620226,30.7087814060727,0.316295036297867,-0.0158574846525326,30.4083438544274
HEALTH_PLUS_UNMEASURED,50000,-0.301333333333333,6.7382101150066,TRUE,0.980862191446366,0.0186296477850142,0.000508160768620226,30.7087814060727,0.930279518523138,-0.0158574846525326,29.7943593722021
HEALTH_ONLY,17000,-0.202,6.22386928143284,TRUE,0.980500112278125,0.0186453096672639,0.000854578054611065,30.711150694389,0.272010874033171,-0.017876771792703,30.4570165921486
HEALTH_PLUS_UNMEASURED,50000,-0.202,6.22386928143284,TRUE,0.980500112278125,0.0186453096672639,0.000854578054611065,30.711150694389,0.800031982450504,-0.017876771792703,29.9289954837312
HEALTH_ONLY,17000,-0.102666666666667,5.70952844785908,TRUE,0.980450479635474,0.0181487858044413,0.0014007345600846,30.7362757616591,0.251970057734053,-0.0148926264580432,30.4991983303831
HEALTH_PLUS_UNMEASURED,50000,-0.102666666666667,5.70952844785908,TRUE,0.980450479635474,0.0181487858044413,0.0014007345600846,30.7362757616591,0.741088405100155,-0.0148926264580432,30.010079983017
HEALTH_ONLY,17000,-0.00333333333333336,5.19518761428532,TRUE,0.980264143332783,0.0174567107239281,0.00227914594328879,30.771127928475,0.238520887826763,-0.000786750217655988,30.5333937908659
HEALTH_PLUS_UNMEASURED,50000,-0.00333333333333336,5.19518761428532,TRUE,0.980264143332783,0.0174567107239281,0.00227914594328879,30.771127928475,0.701532023019893,-0.000786750217655988,30.0703826556728
HEALTH_ONLY,17000,0.096,4.68084678071155,TRUE,0.979639734448906,0.0166528735176392,0.00370739203345454,30.8133086440704,0.224371011638519,0.036857488278863,30.552080144153
HEALTH_PLUS_UNMEASURED,50000,0.096,4.68084678071155,TRUE,0.979639734448906,0.0166528735176392,0.00370739203345454,30.8133086440704,0.659914740113291,0.036857488278863,30.1165364156782
HEALTH_ONLY,17000,0.195333333333333,4.16650594713779,TRUE,0.978263448020625,0.0156961445087545,0.00604040747062043,30.8671270674934,0.210449943149959,0.122188008936145,30.5344891154073
HEALTH_PLUS_UNMEASURED,50000,0.195333333333333,4.16650594713779,TRUE,0.978263448020625,0.0156961445087545,0.00604040747062043,30.8671270674934,0.61897042102929,0.122188008936145,30.125968637528
HEALTH_ONLY,17000,0.294666666666667,3.65216511356403,TRUE,0.975634415663722,0.0144949319932788,0.00987065234299874,30.9419634537131,0.198185544172768,0.301205471526783,30.4425724380136
HEALTH_PLUS_UNMEASURED,50000,0.294666666666667,3.65216511356403,TRUE,0.975634415663722,0.0144949319932788,0.00987065234299874,30.9419634537131,0.58289865933167,0.301205471526783,30.0578593228547
HEALTH_ONLY,17000,0.394,3.13782427999027,TRUE,0.970902753908892,0.0129075159753836,0.0161897301157242,31.0545083849096,0.188730482789948,0.66057452567597,30.2052033764437
HEALTH_PLUS_UNMEASURED,50000,0.394,3.13782427999027,TRUE,0.970902753908892,0.0129075159753836,0.0161897301157242,31.0545083849096,0.555089655264554,0.66057452567597,29.8388442039691
HEALTH_ONLY,17000,0.493333333333333,2.62348344641651,TRUE,0.962588770057292,0.0107650970332661,0.0266461329094421,31.2342118054817,0.18245498448242,1.36132130429506,29.6904355167042
HEALTH_PLUS_UNMEASURED,50000,0.493333333333333,2.62348344641651,TRUE,0.962588770057292,0.0107650970332661,0.0266461329094421,31.2342118054817,0.536632307301234,1.36132130429506,29.3362581938854
HEALTH_ONLY,17000,0.592666666666667,2.10914261284274,TRUE,0.948157724086144,0.00796757372001548,0.0438747021938406,31.5352652622255,0.178749659711094,2.69284077172771,28.6636748307867
HEALTH_PLUS_UNMEASURED,50000,0.592666666666667,2.10914261284274,TRUE,0.948157724086144,0.00796757372001548,0.0438747021938406,31.5352652622255,0.525734293267925,2.69284077172771,28.3166901972299
HEALTH_ONLY,17000,0.692,1.59480177926898,TRUE,0.923467108042831,0.00475612071958337,0.0717767712375856,32.0536003574971,0.175819718289422,5.14370441273245,26.7340762264752
HEALTH_PLUS_UNMEASURED,50000,0.692,1.59480177926898,TRUE,0.923467108042831,0.00475612071958337,0.0717767712375856,32.0536003574971,0.517116818498299,5.14370441273245,26.3927791262663
HEALTH_ONLY,17000,0.791333333333333,1.08046094569522,TRUE,0.882612418246941,0.00196241392798189,0.115425167825077,32.9430955096825,0.170918827836242,9.45901611275178,23.3131605690944
HEALTH_PLUS_UNMEASURED,50000,0.791333333333333,1.08046094569522,TRUE,0.882612418246941,0.00196241392798189,0.115425167825077,32.9430955096825,0.502702434812478,9.45901611275178,22.9813769621182
HEALTH_ONLY,17000,0.890666666666667,0.566120112121456,TRUE,0.819401570623547,0.00045357108375365,0.1801448582927,34.4115816940732,0.161344190042993,16.6158690454499,17.6343684585804
HEALTH_PLUS_UNMEASURED,50000,0.890666666666667,0.566120112121456,TRUE,0.819401570623547,0.00045357108375365,0.1801448582927,34.4115816940732,0.474541735420567,16.6158690454499,17.3211709132028
HEALTH_ONLY,17000,0.99,0.0517792785476942,TRUE,0.730467674925836,4.6342024579581e-05,0.269485983049584,36.6933290920554,0.145660476965933,27.6285037664267,8.91916484866279
HEALTH_PLUS_UNMEASURED,50000,0.99,0.0517792785476942,TRUE,0.730467674925836,4.6342024579581e-05,0.269485983049584,36.6933290920554,0.428413167546862,27.6285037664267,8.63641215808186
