spec,log_hr,hr,crve_se,crve_p,n_obs,n_events,pct_change_vs_A
A2: Full panel  | strata(cell),0.467882494748306,1.59660978162979,0.132829445642935,0.000427609093808707,1010987,477873,0
B2: PSM (birth) | strata(cell),0.174908098591976,1.19113674443815,0.0928563372241348,0.05961341400951,173150,42901,-62.6170885734747
C2: CEM (birth) | strata(cell),0.338420943080275,1.40273084899003,0.116674338433826,0.00372496273118986,431456,95676,-27.669672005505
