col,panel,spec_label,sample,log_hr,hr,crve_se,crve_p,boot_se,boot_p,boot_ci_lo,boot_ci_hi,n_obs,n_events
1,A,"A1: Full panel, no strata",Full panel,0.379584296094433,1.46167683835035,0.138421927569756,0.0061024221548803,0.138421505255547,0,0.241162368524678,0.518006223664189,1010987,477873
2,A,"A2: Full panel, strata(cell)",Full panel,0.467882494748306,1.59660978162979,0.132829445642935,0.000427609093808707,0.13282904039094,0,0.335053049105371,0.600711940391241,1010987,477873
3,B,"B1: PSM, no strata",PSM (birth),0.0436867527170334,1.04465506826853,0.0926516690366009,0.637272232308035,0.0926513863637831,1,-0.0489649163195675,0.136338421753634,173150,42901
4,B,"B2: PSM, strata(cell)",PSM (birth),0.174908098591976,1.19113674443815,0.0928563372241348,0.05961341400951,0.0928560539268907,0,0.0820517613678414,0.267764435816111,173150,42901
5,C,"C1: CEM, no strata",CEM (birth),0.167675477599996,1.18255278350349,0.107096685743218,0.117431558487616,0.107096358999811,0,0.0605787918567781,0.274772163343214,431456,95676
6,C,"C2: CEM, strata(cell)",CEM (birth),0.338420943080275,1.40273084899003,0.116674338433826,0.00372496273118986,0.116673982469769,0,0.221746604646449,0.455095281514102,431456,95676
