YEAR,switch_rate
2007,0
2008,0.0298404418533292
2009,0.0850126884609643
2010,0.125836277531384
2011,0.154794108806733
2012,0.0759736114066823
2013,0.129582628313593
2014,0.215741589674871
2015,0.162054247556106
2016,0.100103842159917
2017,0.0835164835164835
2018,0.159299870598652
2019,0.188072159396877
2020,0.152814454482279
