Model,Estimate,Std_Error,t_stat,p_value_conv,p_value_webb,CI_low_webb,CI_high_webb,N_obs
Spec B + active,-0.0089,0.0071,-1.248,0.2272,,,,1711246
Spec B + 3yr,-0.0102,0.0067,-1.526,0.1435,,,,1711246
