lookup_name,total_fac_months,mean_annual_share,peak_annual_share,years_present,first_year,last_year,pooled_share,market_rank,naic,in_original_pir,filing_status,filing_years_found,needs_followup
Mid-Continent Casualty Co.,601489.066666668,0.28652391920857,0.532068729956149,14,2007,2020,0.296029523104095,1,23418,FALSE,FOUND,2006–2015 (7 filings),FALSE
NATIONWIDE INS CO,116.25,0.000074475229269174,0.00014640898684981,10,2008,2020,0.0000572137283418356,44,,FALSE,NOT_REQUESTED,—,TRUE
NATL UNION FIRE INS CO,93.1666666666667,0.0000942900677901286,0.000208037684540573,7,2008,2014,0.0000458530095241378,49,,FALSE,NOT_REQUESTED,—,TRUE
NAVIGATORS INS CO,8896,0.00497036077809932,0.030447950069416,11,2010,2020,0.00437826518132447,20,,FALSE,NOT_REQUESTED,—,TRUE
NEW HAMPSHIRE INS CO,113.666666666667,0.0000765326531793267,0.000113240833452535,10,2008,2017,0.0000559423121564615,46,,FALSE,NOT_REQUESTED,—,TRUE
Nautilus Insurance Co.,29557.7333333333,0.0156783335648884,0.0215384135608254,12,2009,2020,0.0145471666695377,14,,FALSE,NOT_REQUESTED,—,TRUE
Old Republic Insurance Co.,68616.1357142859,0.031160022137611,0.0718969698830357,14,2007,2020,0.0337701931064402,9,24147,TRUE,NOT_FOUND,—,TRUE
PROFESSIONAL LIABILITY INS CO,366.333333333333,0.000420672834456395,0.00057866359894108,7,2007,2013,0.000180295017771118,36,,FALSE,NOT_REQUESTED,—,TRUE
SCOTTSDALE INS CO,3715.61666666667,0.00287135473062299,0.00774794238683114,8,2011,2020,0.00182868200076614,24,,FALSE,NOT_REQUESTED,—,TRUE
SELF(FIN TEST OR LOCAL GOV FT),143.25,0.000122380727673494,0.000210734832360444,8,2009,2016,0.000070502078150262,43,,FALSE,NOT_REQUESTED,—,TRUE
SENECA INS CO,12.5,0.000135904749966826,0.000260601753139067,2,2007,2008,0.00000615201380019738,59,,FALSE,NOT_REQUESTED,—,TRUE
STATE FARM GENERAL INS CO,114.666666666667,0.000067231969097843,0.000254042260677251,12,2007,2020,0.0000564344732604773,45,,FALSE,NOT_REQUESTED,—,TRUE
STEADFAST INS CO,1178,0.000712749513039232,0.00225459350325946,13,2007,2020,0.000579765780530601,29,,FALSE,NOT_REQUESTED,—,TRUE
STICO MUTUAL INS CO,110,0.0000764977041402701,0.0000874983594057611,9,2012,2020,0.000054137721441737,47,,FALSE,NOT_REQUESTED,—,TRUE
SWANTER & GORDON,13,0.000137772707765923,0.000260601753139067,2,2007,2008,0.00000639809435220528,58,,FALSE,NOT_REQUESTED,—,TRUE
TRAVELERS CAS & SUR CO AMER,175.5,0.000155442056970289,0.000472462203023775,7,2012,2020,0.0000863742737547712,41,,FALSE,NOT_REQUESTED,—,TRUE
TX ASSOC OF COUNTIES,19,0.0000518764332023904,0.000118455342335939,4,2007,2017,0.00000935106097630002,57,,FALSE,NOT_REQUESTED,—,TRUE
TX MUNI LEAGUE INTERGOV,48.5,0.0000779521370736296,0.00014035831919353,4,2011,2018,0.0000238698135447658,52,,FALSE,NOT_REQUESTED,—,TRUE
Tank Owners Members Insurance Co. (TOMIC),306483.371428564,0.154134982660751,0.198288013636879,14,2007,2020,0.150839194444763,2,10085,TRUE,FOUND_PARTIAL,2005–2017 (6 filings),FALSE
Tudor Insurance Co.,26114.7833333333,0.0119029094999306,0.0205868700872767,14,2007,2020,0.0128526805964665,15,,FALSE,NOT_REQUESTED,obtained separately,TRUE
WESTCHESTER FIRE INS CO,41,0.0000837319813456453,0.000103827572938872,3,2018,2020,0.0000201786052646474,54,,FALSE,NOT_REQUESTED,—,TRUE
Zurich American Insurance Co.,118208.449999999,0.0718411547523997,0.229404564479191,14,2007,2020,0.0581776012559948,6,16535,TRUE,FOUND_PARTIAL,2005–2012 (7 filings),FALSE
