spec,p_boot,se_boot,ci_lo,ci_hi,t_stat
T1_AnyClosure,,,,,
T2_FacExit,,,,,
T2_Upgrade,,,,,
T2_Shrink,,,,,
T2b_FacExit,,,,,
T2b_Upgrade,,,,,
T2b_Shrink,,,,,
LUSTA_LeakYear,,,,,
T3_sw_to_dw,,,,,
T3_dw_installed,,,,,
T3_net_tanks,,,,,
T3_capacity_change,,,,,
T3_n_sw_eoy,,,,,
T3_n_dw_eoy,,,,,
T3_pct_sw,,,,,
LUSTB_SA_Primary060daywindow,,,,,
LUSTB_IND_Primary060daywindow,,,,,
LUSTB_SA_Narrow030daywindow,,,,,
LUSTB_IND_Narrow030daywindow,,,,,
LUSTB_SA_Regulatory045daywindow,,,,,
LUSTB_IND_Regulatory045daywindow,,,,,
LUSTB_SA_Wide090daywindow,,,,,
LUSTB_IND_Wide090daywindow,,,,,
