mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Unknown-Wall,Gasoline-Only,25k-Plus,1989,Control States,38,3811999,0.00000996852307673743
Unknown-Wall,Gasoline-Only,25k-Plus,1990,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1990,Control States,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1991,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1991,Control States,35,3811999,0.00000918153441278447
Unknown-Wall,Gasoline-Only,25k-Plus,1992,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1992,Control States,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1993,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1993,Control States,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1994,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1994,Control States,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1995,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1995,Control States,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1996,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1996,Control States,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1997,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1997,Control States,0,,0
Unknown-Wall,Gasoline-Only,5k-12k,1985,Texas,1351,912746,0.00148014891327927
Unknown-Wall,Gasoline-Only,5k-12k,1985,Control States,9765,3811999,0.00256164810116687
Unknown-Wall,Gasoline-Only,5k-12k,1986,Texas,461,912746,0.000505069318298848
Unknown-Wall,Gasoline-Only,5k-12k,1986,Control States,9618,3811999,0.00252308565663317
Unknown-Wall,Gasoline-Only,5k-12k,1987,Texas,4161,912746,0.00455877100529611
Unknown-Wall,Gasoline-Only,5k-12k,1987,Control States,13263,3811999,0.00347927688333601
Unknown-Wall,Gasoline-Only,5k-12k,1988,Texas,394,912746,0.000431664449912681
Unknown-Wall,Gasoline-Only,5k-12k,1988,Control States,15144,3811999,0.00397271877563452
Unknown-Wall,Gasoline-Only,5k-12k,1989,Texas,200,912746,0.00021911901010796
Unknown-Wall,Gasoline-Only,5k-12k,1989,Control States,12042,3811999,0.00315897249710716
Unknown-Wall,Gasoline-Only,5k-12k,1990,Texas,28,912746,0.0000306766614151144
Unknown-Wall,Gasoline-Only,5k-12k,1990,Control States,3864,3811999,0.00101364139917141
Unknown-Wall,Gasoline-Only,5k-12k,1991,Texas,12,912746,0.0000131471406064776
Unknown-Wall,Gasoline-Only,5k-12k,1991,Control States,2819,3811999,0.000739507014561127
Unknown-Wall,Gasoline-Only,5k-12k,1992,Texas,29,912746,0.0000317722564656542
Unknown-Wall,Gasoline-Only,5k-12k,1992,Control States,1366,3811999,0.000358342171653245
Unknown-Wall,Gasoline-Only,5k-12k,1993,Texas,0,,0
Unknown-Wall,Gasoline-Only,5k-12k,1993,Control States,1436,3811999,0.000376705240478814
Unknown-Wall,Gasoline-Only,5k-12k,1994,Texas,0,,0
Unknown-Wall,Gasoline-Only,5k-12k,1994,Control States,1408,3811999,0.000369360012948587
Unknown-Wall,Gasoline-Only,5k-12k,1995,Texas,0,,0
Unknown-Wall,Gasoline-Only,5k-12k,1995,Control States,881,3811999,0.000231112337647518
Unknown-Wall,Gasoline-Only,5k-12k,1996,Texas,0,,0
Unknown-Wall,Gasoline-Only,5k-12k,1996,Control States,631,3811999,0.000165529948984772
Unknown-Wall,Gasoline-Only,5k-12k,1997,Texas,72,912746,0.0000788828436388656
Unknown-Wall,Gasoline-Only,5k-12k,1997,Control States,768,3811999,0.000201469097971956
Unknown-Wall,Gasoline-Only,Under-1k,1985,Texas,69,912746,0.0000755960584872462
Unknown-Wall,Gasoline-Only,Under-1k,1985,Control States,309,3811999,0.0000810598323871544
Unknown-Wall,Gasoline-Only,Under-1k,1986,Texas,28,912746,0.0000306766614151144
Unknown-Wall,Gasoline-Only,Under-1k,1986,Control States,528,3811999,0.00013851000485572
Unknown-Wall,Gasoline-Only,Under-1k,1987,Texas,1833,912746,0.00200822572763945
Unknown-Wall,Gasoline-Only,Under-1k,1987,Control States,229,3811999,0.0000600734680150756
Unknown-Wall,Gasoline-Only,Under-1k,1988,Texas,18,912746,0.0000197207109097164
Unknown-Wall,Gasoline-Only,Under-1k,1988,Control States,201,3811999,0.000052728240484848
Unknown-Wall,Gasoline-Only,Under-1k,1989,Texas,25,912746,0.000027389876263495
Unknown-Wall,Gasoline-Only,Under-1k,1989,Control States,132,3811999,0.00003462750121393
Unknown-Wall,Gasoline-Only,Under-1k,1990,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1990,Control States,207,3811999,0.0000543022178127539
Unknown-Wall,Gasoline-Only,Under-1k,1991,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1991,Control States,45,3811999,0.0000118048299592943
Unknown-Wall,Gasoline-Only,Under-1k,1992,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1992,Control States,31,3811999,0.00000813221619418053
Unknown-Wall,Gasoline-Only,Under-1k,1993,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1993,Control States,15,3811999,0.00000393494331976477
Unknown-Wall,Gasoline-Only,Under-1k,1994,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1994,Control States,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1995,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1995,Control States,58,3811999,0.0000152151141697571
Unknown-Wall,Gasoline-Only,Under-1k,1996,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1996,Control States,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1997,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1997,Control States,13,3811999,0.0000034102842104628
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1985,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1985,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1986,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1986,Control States,35,3811999,0.00000918153441278447
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1987,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1987,Control States,34,3811999,0.00000891920485813349
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1988,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1988,Control States,66,3811999,0.000017313750606965
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1989,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1989,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1990,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1990,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1991,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1992,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1992,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1993,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1993,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1994,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1995,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1995,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1996,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1996,Control States,25,3811999,0.00000655823886627462
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1997,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1985,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1985,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1986,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1986,Control States,105,3811999,0.0000275446032383534
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1987,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1987,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1988,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1988,Control States,33,3811999,0.0000086568753034825
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1989,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1989,Control States,64,3811999,0.000016789091497663
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1990,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1990,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1991,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1992,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1992,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1993,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1993,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1994,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1995,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1995,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1996,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1996,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1997,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1985,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1985,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1986,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1986,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1987,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1987,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1988,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1988,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1989,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1989,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1990,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1990,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1991,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1992,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1992,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1993,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1993,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1994,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1995,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1995,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1996,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1996,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1997,Control States,0,,0
