Group,N_pre1988_tanks,Pct_of_all_tanks,Mean_age_at_1999,Pct_single_walled,Mean_yrs_past_deadline,Min_yrs_past_deadline,Max_yrs_past_deadline
Control,138020,49.3,19.9,75.4,0,0,0
Texas,46836,16.7,18.7,91.7,5.7,5,9
