YEAR,total_churn
2008,0.0191933601348723
2009,0.0912089598036208
2010,0.200403045230631
2011,0.20656994662858
2012,0.127892996693718
2013,0.123359580052493
2014,0.229695431472081
2015,0.231751181324494
2016,0.121162054247556
2017,0.12724125995154
2018,0.115987238567884
2019,0.174078866716611
2020,0.300955842757135
