component,E_label,E_external_USD,baseline_USD,cf_USD,delta_USD
ExternalDamage_USD,HEALTH_ONLY,17000,3412,3453,41
GovtOutlay_USD,HEALTH_ONLY,17000,0,0,0
ProducerSurplus_USD,HEALTH_ONLY,17000,297002,306215,9213
SocialWelfare_USD,HEALTH_ONLY,17000,293590,302762,9172
ExternalDamage_USD,HEALTH_PLUS_UNMEASURED,50000,10036,10156,120
GovtOutlay_USD,HEALTH_PLUS_UNMEASURED,50000,0,0,0
ProducerSurplus_USD,HEALTH_PLUS_UNMEASURED,50000,297002,306215,9213
SocialWelfare_USD,HEALTH_PLUS_UNMEASURED,50000,286966,296058,9092
