Term,Coefficient,SE
texas_treated:post:age_bins0-5,-0.000195159081942046,0.000132781665263943
texas_treated:post:age_bins10-15,-0.000202254397427769,0.000136726309013543
texas_treated:post:age_bins15-20,-0.000179951901920514,0.000141782781697455
texas_treated:post:age_bins20-25,-0.000131282090755646,0.000150865225732611
texas_treated:post:age_bins25-30,-0.0000838461889507855,0.000158891623781083
texas_treated:post:age_bins30-35,-0.0000521991787486857,0.000165718423372542
texas_treated:post:age_bins35+,-0.00000597095608318563,0.000179103217332682
texas_treated:post:age_bins5-10,-0.000192952282069525,0.000139859780749353
