term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-2.31635711323164,0.0141906272232784,-163.231482075146,0
did_term,-1.01866472631882,0.0572694526668076,-17.7872265035495,0.0000000000000000000000000000000000000000000000000000000000000000000000887661428858478
age_bin5-9,-1.48125641888895,0.0306057487056047,-48.3979801682713,0
age_bin10-14,-1.57340627320619,0.0334942264359939,-46.9754474316015,0
age_bin15-19,-1.54429908271904,0.0343353285383914,-44.9769711972412,0
age_bin20-24,-1.95079884356879,0.0425914984889154,-45.8025407130602,0
age_bin25-29,-2.02586038355335,0.0591559992786235,-34.2460681631223,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049906322991658
age_bin30-34,-2.21857430437697,0.250381850740943,-8.8607632614411,0.000000000000000000794684627232157
texas_treated,0.224321616797846,0.0311374606119786,7.20423606771418,0.000000000000583701652206458
