decile,mean_predicted,mean_actual,n_fac_years,n_leaks,lift
1,0.0077,0.0083,124885,1038,1
2,0.0114,0.0121,124887,1507,1.46
3,0.0137,0.0129,124892,1617,1.55
4,0.0158,0.0157,124887,1961,1.89
5,0.0177,0.0177,124878,2209,2.13
6,0.0197,0.0184,124923,2303,2.22
7,0.0218,0.0217,124874,2716,2.61
8,0.0241,0.0237,124890,2959,2.86
9,0.027,0.0278,124908,3471,3.35
10,0.0315,0.0322,124826,4021,3.88
