make_model_fac,fac_wall,fac_fuel,fac_oldest_age_bin,closure_TX,closure_CTL,closure_diff,lust_TX,lust_CTL,lust_diff,replace_TX,replace_CTL,replace_diff,n_fy_tx,n_fy_ctl,n_years,n_tx,n_ctl,w,age_ord
All-SW_Diesel-Only_12-14yr,All-SW,Diesel-Only,12-14yr,2.29095074455899,1.92804611409263,0.362904630466366,1.26002290950745,1.05346849532896,0.206554414178485,0.229095074455899,0.159014112502485,0.0700809619534146,873,5031,9,97,559,5904,12-14yr
All-SW_Diesel-Only_15-19yr,All-SW,Diesel-Only,15-19yr,1.73237753882915,1.9617791307289,-0.22940159189975,1.13500597371565,1.28530356840859,-0.15029759469294,0.1194743130227,0.236766446812109,-0.117292133789409,1674,5913,9,186,657,7587,15-19yr
All-SW_Diesel-Only_20yr-Plus,All-SW,Diesel-Only,20yr-Plus,2.1978021978022,1.88124632569077,0.316555872111428,0.915750915750916,1.11699000587889,-0.201239090127979,0.122100122100122,0.220458553791887,-0.098358431691765,1638,6804,9,182,756,8442,20yr-Plus
All-SW_Gasoline-Only_0-2yr,All-SW,Gasoline-Only,0-2yr,7.589215149048,8.43329435515476,-0.844079206106761,1.55953091244974,3.15119097474008,-1.59166006229034,5.72291932302063,5.26163043178925,0.461288891231381,1772,6304,9,298,944,8076,0-2yr
All-SW_Gasoline-Only_3-5yr,All-SW,Gasoline-Only,3-5yr,7.19812988109191,8.44576165106498,-1.24763176997307,1.73765091918659,3.80685241080188,-2.06920149161529,4.7833178299887,5.12395118658444,-0.340633356595743,2493,8838,9,368,1234,11331,3-5yr
All-SW_Gasoline-Only_6-8yr,All-SW,Gasoline-Only,6-8yr,6.55526564144437,6.37767530906545,0.177590332378922,1.25333979714427,2.52128799621971,-1.26794819907544,2.92168179734094,2.99275316085095,-0.0710713635100067,2931,14389,9,338,1668,17320,6-8yr
All-SW_Gasoline-Only_9-11yr,All-SW,Gasoline-Only,9-11yr,0.859509298327864,1.21958369979478,-0.360074401466918,0.859509298327864,1.25476399882732,-0.39525470049946,0.140646976090014,0.175901495162709,-0.0352545190726948,6399,17055,9,711,1895,23454,9-11yr
All-SW_Gasoline-Only_12-14yr,All-SW,Gasoline-Only,12-14yr,0.931470392548237,1.41527001862197,-0.483799626073737,0.998003992015968,1.71322160148976,-0.71521760947379,0.149700598802395,0.223463687150838,-0.0737630883484428,6012,16110,9,668,1790,22122,12-14yr
All-SW_Gasoline-Only_15-19yr,All-SW,Gasoline-Only,15-19yr,1.1092925986543,1.32181651616281,-0.212523917508505,1.11838516093835,1.91074466692841,-0.79235950599006,0.145480996544826,0.231208829559831,-0.0857278330150044,10998,22923,9,1222,2547,33921,15-19yr
All-SW_Gasoline-Only_20yr-Plus,All-SW,Gasoline-Only,20yr-Plus,1.02197240674502,1.39185786898485,-0.369885462239828,1.18094589223869,1.98565388817633,-0.804707995937647,0.19303923238517,0.201890646525106,-0.00885141413993564,17613,42102,9,1957,4678,59715,20yr-Plus
