from,to,N,frac
1,1,494014,0.998591096620047
1,2,485,0.000980370357643149
1,3,148,0.000299164562744714
1,4+,64,0.000129368459565282
2,1,1264,0.00232412753282095
2,2,541292,0.995278196594712
2,3,967,0.00177803111094767
2,4+,337,0.000619644761519509
3,1,724,0.00125171808680769
3,2,2063,0.00356670499044787
3,3,574148,0.992640105116657
3,4+,1470,0.00254147180608743
4+,1,760,0.00144902943627035
4+,2,1170,0.00223074268478462
4+,3,2272,0.00433183536737663
4+,4+,520287,0.991988392511568
