get,texas_share
-4,0.227241139680334
-5,0.247872340425532
-3,0.227607507721549
-2,0.221885581892711
-1,0.219332855093257
0,0.219398711524696
1,0.218705293276109
2,0.219165767709457
3,0.21950774840474
4,0.218991534781008
5,0.217849223946785
6,0.21668228678538
7,0.217799043062201
8,0.217610550814585
9,0.21615294576668
10,0.216274935808809
11,0.21748788368336
12,0.218226399673069
13,0.219411885667284
14,0.220465890183028
15,0.22278695468022
16,0.224030841721996
17,0.225479629230438
18,0.227035263387027
19,0.230803505124016
