Model,Estimate,Std_Error,t_stat,p_value_conv,p_value_webb,CI_low_webb,CI_high_webb,N_obs
H4 Triple (Spec A),-0.0087,0.0045,-1.93,0.0687,,,,991840
Falsification (Pre-Period),,,,,,,,
