mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Single-Walled,Other-Fuel,Under-1k,1995-1997,Control States,9054,5721325,0.00158250055712619
Unknown-Wall,Diesel-Only,12k-25k,1989-1991,Texas,0,,0
Unknown-Wall,Diesel-Only,12k-25k,1989-1991,Control States,26250,5721325,0.004588098036731
Unknown-Wall,Diesel-Only,12k-25k,1992-1994,Texas,15,358115,0.0000418859863451685
Unknown-Wall,Diesel-Only,12k-25k,1992-1994,Control States,15287,5721325,0.00267193351190502
Unknown-Wall,Diesel-Only,12k-25k,1995-1997,Texas,0,,0
Unknown-Wall,Diesel-Only,12k-25k,1995-1997,Control States,13989,5721325,0.00244506298803162
Unknown-Wall,Diesel-Only,1k-5k,1989-1991,Texas,56,358115,0.000156374349021962
Unknown-Wall,Diesel-Only,1k-5k,1989-1991,Control States,45772,5721325,0.00800024469856196
Unknown-Wall,Diesel-Only,1k-5k,1992-1994,Texas,0,,0
Unknown-Wall,Diesel-Only,1k-5k,1992-1994,Control States,18711,5721325,0.00327039628058186
Unknown-Wall,Diesel-Only,1k-5k,1995-1997,Texas,0,,0
Unknown-Wall,Diesel-Only,1k-5k,1995-1997,Control States,13777,5721325,0.00240800863436354
Unknown-Wall,Diesel-Only,25k-Plus,1989-1991,Texas,0,,0
Unknown-Wall,Diesel-Only,25k-Plus,1989-1991,Control States,1554,5721325,0.000271615403774475
Unknown-Wall,Diesel-Only,25k-Plus,1992-1994,Texas,0,,0
Unknown-Wall,Diesel-Only,25k-Plus,1992-1994,Control States,973,5721325,0.000170065500561496
Unknown-Wall,Diesel-Only,25k-Plus,1995-1997,Texas,0,,0
Unknown-Wall,Diesel-Only,25k-Plus,1995-1997,Control States,698,5721325,0.000121999711605266
Unknown-Wall,Diesel-Only,5k-12k,1989-1991,Texas,26,358115,0.0000726023763316253
Unknown-Wall,Diesel-Only,5k-12k,1989-1991,Control States,64055,5721325,0.0111958331330592
Unknown-Wall,Diesel-Only,5k-12k,1992-1994,Texas,0,,0
Unknown-Wall,Diesel-Only,5k-12k,1992-1994,Control States,28646,5721325,0.0050068821470551
Unknown-Wall,Diesel-Only,5k-12k,1995-1997,Texas,24,358115,0.0000670175781522695
Unknown-Wall,Diesel-Only,5k-12k,1995-1997,Control States,24671,5721325,0.00431211301577869
Unknown-Wall,Diesel-Only,Under-1k,1989-1991,Texas,3,358115,0.00000837719726903369
Unknown-Wall,Diesel-Only,Under-1k,1989-1991,Control States,10724,5721325,0.00187439098460584
Unknown-Wall,Diesel-Only,Under-1k,1992-1994,Texas,0,,0
Unknown-Wall,Diesel-Only,Under-1k,1992-1994,Control States,6322,5721325,0.00110498879193194
Unknown-Wall,Diesel-Only,Under-1k,1995-1997,Texas,0,,0
Unknown-Wall,Diesel-Only,Under-1k,1995-1997,Control States,3257,5721325,0.000569273725928871
Unknown-Wall,Gasoline-Only,12k-25k,1989-1991,Texas,9,358115,0.0000251315918071011
Unknown-Wall,Gasoline-Only,12k-25k,1989-1991,Control States,85453,5721325,0.0149358758679152
Unknown-Wall,Gasoline-Only,12k-25k,1992-1994,Texas,0,,0
Unknown-Wall,Gasoline-Only,12k-25k,1992-1994,Control States,53001,5721325,0.0092637632017059
Unknown-Wall,Gasoline-Only,12k-25k,1995-1997,Texas,0,,0
Unknown-Wall,Gasoline-Only,12k-25k,1995-1997,Control States,63035,5721325,0.0110175527522034
Unknown-Wall,Gasoline-Only,1k-5k,1989-1991,Texas,166,358115,0.000463538248886531
Unknown-Wall,Gasoline-Only,1k-5k,1989-1991,Control States,70307,5721325,0.0122885869968932
Unknown-Wall,Gasoline-Only,1k-5k,1992-1994,Texas,0,,0
Unknown-Wall,Gasoline-Only,1k-5k,1992-1994,Control States,23657,5721325,0.00413488134304554
Unknown-Wall,Gasoline-Only,1k-5k,1995-1997,Texas,0,,0
Unknown-Wall,Gasoline-Only,1k-5k,1995-1997,Control States,12636,5721325,0.00220857930636697
Unknown-Wall,Gasoline-Only,25k-Plus,1989-1991,Texas,3,358115,0.00000837719726903369
Unknown-Wall,Gasoline-Only,25k-Plus,1989-1991,Control States,4787,5721325,0.000836694297212621
Unknown-Wall,Gasoline-Only,25k-Plus,1992-1994,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1992-1994,Control States,2109,5721325,0.000368620905122502
Unknown-Wall,Gasoline-Only,25k-Plus,1995-1997,Texas,0,,0
Unknown-Wall,Gasoline-Only,25k-Plus,1995-1997,Control States,1304,5721325,0.000227919231996085
Unknown-Wall,Gasoline-Only,5k-12k,1989-1991,Texas,240,358115,0.000670175781522695
Unknown-Wall,Gasoline-Only,5k-12k,1989-1991,Control States,292878,5721325,0.0511905895924458
Unknown-Wall,Gasoline-Only,5k-12k,1992-1994,Texas,29,358115,0.000080979573600659
Unknown-Wall,Gasoline-Only,5k-12k,1992-1994,Control States,106671,5721325,0.0186444573590908
Unknown-Wall,Gasoline-Only,5k-12k,1995-1997,Texas,72,358115,0.000201052734456809
Unknown-Wall,Gasoline-Only,5k-12k,1995-1997,Control States,101337,5721325,0.017712155838027
Unknown-Wall,Gasoline-Only,Under-1k,1989-1991,Texas,25,358115,0.0000698099772419474
Unknown-Wall,Gasoline-Only,Under-1k,1989-1991,Control States,6044,5721325,0.00105639864891437
Unknown-Wall,Gasoline-Only,Under-1k,1992-1994,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1992-1994,Control States,2177,5721325,0.000380506263846224
Unknown-Wall,Gasoline-Only,Under-1k,1995-1997,Texas,0,,0
Unknown-Wall,Gasoline-Only,Under-1k,1995-1997,Control States,957,5721325,0.000167268945567679
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1989-1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1989-1991,Control States,5045,5721325,0.00088178874648792
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1992-1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1992-1994,Control States,5226,5721325,0.000913424774855475
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1995-1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,12k-25k,1995-1997,Control States,5021,5721325,0.000877593913997195
