mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Double-Walled,Other-Fuel,25k-Plus,1992-1994,Texas,140,358115,0.000390935872554906
Double-Walled,Other-Fuel,25k-Plus,1992-1994,Control States,1803,5721325,0.000315136790865752
Double-Walled,Other-Fuel,25k-Plus,1995-1997,Texas,44,358115,0.000122865559945827
Double-Walled,Other-Fuel,25k-Plus,1995-1997,Control States,1499,5721325,0.000262002245983229
Double-Walled,Other-Fuel,5k-12k,1989-1991,Texas,6393,358115,0.0178518073803108
Double-Walled,Other-Fuel,5k-12k,1989-1991,Control States,69895,5721325,0.0122165757058024
Double-Walled,Other-Fuel,5k-12k,1992-1994,Texas,3374,358115,0.00942155452857322
Double-Walled,Other-Fuel,5k-12k,1992-1994,Control States,39922,5721325,0.00697775427894762
Double-Walled,Other-Fuel,5k-12k,1995-1997,Texas,2331,358115,0.00650908227803918
Double-Walled,Other-Fuel,5k-12k,1995-1997,Control States,32066,5721325,0.00560464577698348
Double-Walled,Other-Fuel,Under-1k,1989-1991,Texas,972,358115,0.00271421191516692
Double-Walled,Other-Fuel,Under-1k,1989-1991,Control States,19498,5721325,0.00340795182934023
Double-Walled,Other-Fuel,Under-1k,1992-1994,Texas,329,358115,0.000918699300504028
Double-Walled,Other-Fuel,Under-1k,1992-1994,Control States,11537,5721325,0.00201649093522916
Double-Walled,Other-Fuel,Under-1k,1995-1997,Texas,218,358115,0.000608743001549782
Double-Walled,Other-Fuel,Under-1k,1995-1997,Control States,5991,5721325,0.00104713506049735
Single-Walled,Diesel-Only,12k-25k,1989-1991,Texas,4008,358115,0.011191935551429
Single-Walled,Diesel-Only,12k-25k,1989-1991,Control States,42864,5721325,0.00749197082843572
Single-Walled,Diesel-Only,12k-25k,1992-1994,Texas,2885,358115,0.00805607137372073
Single-Walled,Diesel-Only,12k-25k,1992-1994,Control States,25245,5721325,0.00441243942618187
Single-Walled,Diesel-Only,12k-25k,1995-1997,Texas,3471,358115,0.00969241724027198
Single-Walled,Diesel-Only,12k-25k,1995-1997,Control States,26332,5721325,0.00460243038107431
Single-Walled,Diesel-Only,1k-5k,1989-1991,Texas,3921,358115,0.010948996830627
Single-Walled,Diesel-Only,1k-5k,1989-1991,Control States,95424,5721325,0.0166786539831245
Single-Walled,Diesel-Only,1k-5k,1992-1994,Texas,1620,358115,0.00452368652527819
Single-Walled,Diesel-Only,1k-5k,1992-1994,Control States,49360,5721325,0.00862737215592542
Single-Walled,Diesel-Only,1k-5k,1995-1997,Texas,1117,358115,0.00311910978317021
Single-Walled,Diesel-Only,1k-5k,1995-1997,Control States,39505,5721325,0.00690486906442127
Single-Walled,Diesel-Only,25k-Plus,1989-1991,Texas,97,358115,0.000270862711698756
Single-Walled,Diesel-Only,25k-Plus,1989-1991,Control States,1070,5721325,0.000187019615211511
Single-Walled,Diesel-Only,25k-Plus,1992-1994,Texas,0,,0
Single-Walled,Diesel-Only,25k-Plus,1992-1994,Control States,396,5721325,0.0000692147360969705
Single-Walled,Diesel-Only,25k-Plus,1995-1997,Texas,152,358115,0.00042444466163104
Single-Walled,Diesel-Only,25k-Plus,1995-1997,Control States,1154,5721325,0.000201701528929051
Single-Walled,Diesel-Only,5k-12k,1989-1991,Texas,10791,358115,0.0301327785767142
Single-Walled,Diesel-Only,5k-12k,1989-1991,Control States,133122,5721325,0.0232676871179316
Single-Walled,Diesel-Only,5k-12k,1992-1994,Texas,5440,358115,0.0151906510478478
Single-Walled,Diesel-Only,5k-12k,1992-1994,Control States,61990,5721325,0.0108349027541697
Single-Walled,Diesel-Only,5k-12k,1995-1997,Texas,4976,358115,0.0138949778702372
Single-Walled,Diesel-Only,5k-12k,1995-1997,Control States,54900,5721325,0.00959567932253455
Single-Walled,Diesel-Only,Under-1k,1989-1991,Texas,252,358115,0.00070368457059883
Single-Walled,Diesel-Only,Under-1k,1989-1991,Control States,10735,5721325,0.00187631361616409
Single-Walled,Diesel-Only,Under-1k,1992-1994,Texas,86,358115,0.000240146321712299
Single-Walled,Diesel-Only,Under-1k,1992-1994,Control States,6135,5721325,0.0010723040554417
Single-Walled,Diesel-Only,Under-1k,1995-1997,Texas,10,358115,0.000027923990896779
Single-Walled,Diesel-Only,Under-1k,1995-1997,Control States,3868,5721325,0.000676067169755258
Single-Walled,Gasoline-Only,12k-25k,1989-1991,Texas,12522,358115,0.0349664214009466
Single-Walled,Gasoline-Only,12k-25k,1989-1991,Control States,107502,5721325,0.0187897034340821
Single-Walled,Gasoline-Only,12k-25k,1992-1994,Texas,10199,358115,0.0284796783156249
Single-Walled,Gasoline-Only,12k-25k,1992-1994,Control States,73235,5721325,0.0128003565607617
Single-Walled,Gasoline-Only,12k-25k,1995-1997,Texas,17172,358115,0.0479510771679489
Single-Walled,Gasoline-Only,12k-25k,1995-1997,Control States,94884,5721325,0.0165842702520832
Single-Walled,Gasoline-Only,1k-5k,1989-1991,Texas,6868,358115,0.0191781969479078
Single-Walled,Gasoline-Only,1k-5k,1989-1991,Control States,175794,5721325,0.0307260992864415
Single-Walled,Gasoline-Only,1k-5k,1992-1994,Texas,2430,358115,0.00678552978791729
Single-Walled,Gasoline-Only,1k-5k,1992-1994,Control States,79275,5721325,0.0138560560709276
Single-Walled,Gasoline-Only,1k-5k,1995-1997,Texas,1069,358115,0.00298507462686567
Single-Walled,Gasoline-Only,1k-5k,1995-1997,Control States,51319,5721325,0.00896977535798089
Single-Walled,Gasoline-Only,25k-Plus,1989-1991,Texas,47,358115,0.000131242757214861
Single-Walled,Gasoline-Only,25k-Plus,1989-1991,Control States,529,5721325,0.0000924610994830743
Single-Walled,Gasoline-Only,25k-Plus,1992-1994,Texas,83,358115,0.000231769124443265
Single-Walled,Gasoline-Only,25k-Plus,1992-1994,Control States,420,5721325,0.000073409568587696
Single-Walled,Gasoline-Only,25k-Plus,1995-1997,Texas,159,358115,0.000443991455258786
Single-Walled,Gasoline-Only,25k-Plus,1995-1997,Control States,704,5721325,0.000123048419727948
Single-Walled,Gasoline-Only,5k-12k,1989-1991,Texas,41045,358115,0.114614020635829
Single-Walled,Gasoline-Only,5k-12k,1989-1991,Control States,525443,5721325,0.0918393903510113
Single-Walled,Gasoline-Only,5k-12k,1992-1994,Texas,22553,358115,0.0629769766695056
Single-Walled,Gasoline-Only,5k-12k,1992-1994,Control States,211359,5721325,0.0369423166836353
Single-Walled,Gasoline-Only,5k-12k,1995-1997,Texas,15851,358115,0.0442623179704843
Single-Walled,Gasoline-Only,5k-12k,1995-1997,Control States,168881,5721325,0.0295178127444255
Single-Walled,Gasoline-Only,Under-1k,1989-1991,Texas,289,358115,0.000807003336916912
Single-Walled,Gasoline-Only,Under-1k,1989-1991,Control States,10098,5721325,0.00176497577047275
Single-Walled,Gasoline-Only,Under-1k,1992-1994,Texas,2,358115,0.00000558479817935579
Single-Walled,Gasoline-Only,Under-1k,1992-1994,Control States,6577,5721325,0.0011495588871459
Single-Walled,Gasoline-Only,Under-1k,1995-1997,Texas,37,358115,0.000103318766318082
Single-Walled,Gasoline-Only,Under-1k,1995-1997,Control States,6364,5721325,0.00111232974879071
Single-Walled,Motor-Fuel-Mixed,12k-25k,1989-1991,Texas,400,358115,0.00111695963587116
Single-Walled,Motor-Fuel-Mixed,12k-25k,1989-1991,Control States,1770,5721325,0.000309368896191005
