metric,value
maintain_off_support_mass,0.00685
maintain_n_trans,2137475
maintain_DW_to_SW,81
maintain_SW_to_DW,1825
maintain_regime_change,0
maintain_age_jump,14121
replace_off_support_mass,0.98261
replace_n_trans,5404
exit_reentry_rate,0
exit_n,38392
