E_label,E_dollars,Scenario,Converged,AvgP_M,AvgP_E,AvgP_R,ExpPrivateLossFlow,ExpExternalDamFlow,FirmSurplusPerceived,FirmSurplusReal,SocialWelfare,GovtCostImplied
HEALTH_ONLY,17000,BASELINE,TRUE,0.978457713898192,0.0191219073983112,0.00242037870349694,0.343066606011712,0.0173540376974219,28.8776758238276,28.1430061844589,27.7959254305105,0.734669639368683
HEALTH_ONLY,17000,A_TX_stays_FF,TRUE,0.967535312667701,0.0300715695003077,0.00239311783199115,0.328100568266285,0.0166604619855728,28.6232711074137,28.0437020368773,27.7104927971658,0.579569070536447
HEALTH_ONLY,17000,B_Pigouvian_internalizeE,TRUE,0.978118981791727,0.0194608108166003,0.00242020739167247,0.342947903468548,0.0173429085407157,28.8611587334941,28.1408152130698,27.7939570422554,0.720343520424358
HEALTH_ONLY,17000,C_KSW_subsidy_50pct,TRUE,0.960701140675082,0.0152811405840415,0.024017718740876,0.279904133626686,0.00891753893485934,29.0627733457857,27.2709168013839,27.0925660226867,1.79185654440185
HEALTH_ONLY,17000,D_K_tax_50pct,TRUE,0.981139590565635,0.0186253726813497,0.000235036753015566,0.34590541063367,0.0194113356721688,28.855543719533,28.1387988187679,27.7505721053245,0.716744900765058
HEALTH_PLUS_UNMEASURED,50000,BASELINE,TRUE,0.978457713898192,0.0191219073983112,0.00242037870349694,0.343066606011712,0.0510412873453584,28.8776758238276,28.1430061844589,27.1221804375517,0.734669639368683
HEALTH_PLUS_UNMEASURED,50000,A_TX_stays_FF,TRUE,0.967535312667701,0.0300715695003077,0.00239311783199115,0.328100568266285,0.0490013587810964,28.6232711074137,28.0437020368773,27.0636748612554,0.579569070536447
HEALTH_PLUS_UNMEASURED,50000,B_Pigouvian_internalizeE,TRUE,0.977440142152177,0.0201398567137601,0.00242000113406274,0.342682553168896,0.0509359649350941,28.8295772644265,28.1360118579438,27.117292559242,0.693565406482691
HEALTH_PLUS_UNMEASURED,50000,C_KSW_subsidy_50pct,TRUE,0.960701140675082,0.0152811405840415,0.024017718740876,0.279904133626686,0.0262280556907628,29.0627733457857,27.2709168013839,26.7463556875686,1.79185654440185
HEALTH_PLUS_UNMEASURED,50000,D_K_tax_50pct,TRUE,0.981139590565635,0.0186253726813497,0.000235036753015566,0.34590541063367,0.0570921637416729,28.855543719533,28.1387988187679,26.9969555439345,0.716744900765058
