state,size_lab,age_bin,mean_oop,n
MA,3 tanks,4,46.91,5736
MA,3 tanks,5,49.24,5235
MA,3 tanks,6,55.44,4102
MA,3 tanks,7,59.45,2201
MA,3 tanks,8,62.8,1037
MA,4+ tanks,1,62.65,331
MA,4+ tanks,2,33.64,958
MA,4+ tanks,3,36.71,2971
MA,4+ tanks,4,47.51,4152
MA,4+ tanks,5,50.44,3844
MA,4+ tanks,6,55.49,3110
MA,4+ tanks,7,59.38,1588
MA,4+ tanks,8,62.82,794
ME,1 tank,1,6.32,591
ME,1 tank,2,3.4,1665
ME,1 tank,3,3.66,2705
ME,1 tank,4,4.56,2435
ME,1 tank,5,4.48,1931
ME,1 tank,6,5.15,1212
ME,1 tank,7,6.03,767
ME,1 tank,8,6.29,1023
ME,2 tanks,1,6.25,168
ME,2 tanks,2,3.37,670
ME,2 tanks,3,3.67,1368
ME,2 tanks,4,4.66,1273
ME,2 tanks,5,4.73,909
ME,2 tanks,6,5.32,538
ME,2 tanks,7,6.05,324
ME,2 tanks,8,6.28,518
ME,3 tanks,1,6.33,79
ME,3 tanks,2,3.38,371
ME,3 tanks,3,3.68,1161
ME,3 tanks,4,4.78,1380
ME,3 tanks,5,5.09,1046
ME,3 tanks,6,5.64,763
ME,3 tanks,7,6.07,325
ME,3 tanks,8,6.29,321
ME,4+ tanks,2,3.38,101
ME,4+ tanks,3,3.69,580
ME,4+ tanks,4,4.83,734
ME,4+ tanks,5,5.22,606
ME,4+ tanks,6,5.73,436
ME,4+ tanks,7,6.06,160
ME,4+ tanks,8,6.29,133
MN,1 tank,1,0,2154
MN,1 tank,2,0,3572
MN,1 tank,3,0,4451
MN,1 tank,4,0,4382
MN,1 tank,5,0,3390
MN,1 tank,6,0,2168
MN,1 tank,7,0,1267
MN,1 tank,8,0,2571
MN,2 tanks,1,0,1997
MN,2 tanks,2,0,3578
MN,2 tanks,3,0,4569
MN,2 tanks,4,0,4662
MN,2 tanks,5,0,3937
MN,2 tanks,6,0,2382
MN,2 tanks,7,0,1188
MN,2 tanks,8,0,1375
MN,3 tanks,1,0,1400
MN,3 tanks,2,0,3052
MN,3 tanks,3,0,4923
MN,3 tanks,4,0,5405
MN,3 tanks,5,0,4785
MN,3 tanks,6,0,3244
MN,3 tanks,7,0,1699
MN,3 tanks,8,0,807
MN,4+ tanks,1,0,1448
MN,4+ tanks,2,0,2950
MN,4+ tanks,3,0,4809
MN,4+ tanks,4,0,5468
MN,4+ tanks,5,0,4768
MN,4+ tanks,6,0,3234
MN,4+ tanks,7,0,1648
MN,4+ tanks,8,0,634
MO,1 tank,1,78.41,741
MO,1 tank,2,54.19,1261
MO,1 tank,3,74.27,2128
MO,1 tank,4,99.37,3753
MO,1 tank,5,112.01,5667
MO,1 tank,6,119.36,7143
MO,1 tank,7,123.16,7701
MO,1 tank,8,125.61,26276
MO,2 tanks,1,77.95,2389
MO,2 tanks,2,52.81,3222
MO,2 tanks,3,74.32,3810
MO,2 tanks,4,99.4,4847
MO,2 tanks,5,112.25,5582
MO,2 tanks,6,119.53,6225
MO,2 tanks,7,123.28,6689
MO,2 tanks,8,125.66,16202
MO,3 tanks,1,74.57,1105
MO,3 tanks,2,52.45,1881
MO,3 tanks,3,74.38,3227
MO,3 tanks,4,99.66,4533
MO,3 tanks,5,112.57,5594
MO,3 tanks,6,119.7,6377
MO,3 tanks,7,123.31,6957
MO,3 tanks,8,125.6,13536
MO,4+ tanks,1,99.69,451
MO,4+ tanks,2,54.92,675
MO,4+ tanks,3,74.44,2006
MO,4+ tanks,4,100.08,3808
MO,4+ tanks,5,113.15,5565
MO,4+ tanks,6,119.91,7197
MO,4+ tanks,7,123.41,7667
MO,4+ tanks,8,125.61,12915
NC,1 tank,1,126.76,1990
NC,1 tank,2,86.62,4441
NC,1 tank,3,126.9,5474
NC,1 tank,4,170.06,5359
NC,1 tank,5,191.78,4742
NC,1 tank,6,203.74,3131
NC,1 tank,7,210.43,1835
NC,1 tank,8,214.13,4541
NC,2 tanks,1,140.08,3068
NC,2 tanks,2,90.15,5435
NC,2 tanks,3,126.74,6241
NC,2 tanks,4,169.89,5978
NC,2 tanks,5,192.96,5082
NC,2 tanks,6,204.51,3915
NC,2 tanks,7,210.49,2744
NC,2 tanks,8,214.27,6060
NC,3 tanks,1,130.29,1904
NC,3 tanks,2,86.81,4197
NC,3 tanks,3,126.98,6554
NC,3 tanks,4,170.66,7257
NC,3 tanks,5,193.65,7465
NC,3 tanks,6,204.83,6837
NC,3 tanks,7,210.69,5493
NC,3 tanks,8,214.37,7862
NC,4+ tanks,1,114.98,1280
NC,4+ tanks,2,84.8,2995
NC,4+ tanks,3,127.1,6688
NC,4+ tanks,4,171.16,9702
NC,4+ tanks,5,193.86,10440
NC,4+ tanks,6,204.86,10268
NC,4+ tanks,7,210.63,9000
NC,4+ tanks,8,214.34,8827
OH,1 tank,1,473.09,2035
OH,1 tank,2,303.81,4036
OH,1 tank,3,407.87,6622
OH,1 tank,4,536.83,6796
OH,1 tank,5,585.92,5882
OH,1 tank,6,636.37,4408
OH,1 tank,7,665.37,2640
OH,1 tank,8,688.33,3044
OH,2 tanks,1,489.68,2576
OH,2 tanks,2,305.29,5020
OH,2 tanks,3,407.63,7130
OH,2 tanks,4,535.7,7370
OH,2 tanks,5,586.32,6163
OH,2 tanks,6,636.49,4214
OH,2 tanks,7,663.81,2151
OH,2 tanks,8,689.01,1802
OH,3 tanks,1,530.17,3466
OH,3 tanks,2,309.2,5866
OH,3 tanks,3,407.92,8347
OH,3 tanks,4,541.31,9148
OH,3 tanks,5,603.83,8354
OH,3 tanks,6,650.35,6606
OH,3 tanks,7,674.81,4690
OH,3 tanks,8,690.55,3886
OH,4+ tanks,1,516.28,2667
OH,4+ tanks,2,308.14,4889
OH,4+ tanks,3,408.29,8773
OH,4+ tanks,4,543.66,10298
OH,4+ tanks,5,607.06,9026
OH,4+ tanks,6,651.17,7131
OH,4+ tanks,7,675.04,4497
OH,4+ tanks,8,689.74,2474
OK,1 tank,1,36.47,1398
OK,1 tank,2,25.98,2064
OK,1 tank,3,37.18,2413
OK,1 tank,4,49.72,2984
OK,1 tank,5,55.94,2966
OK,1 tank,6,59.65,2745
OK,1 tank,7,61.62,2644
OK,1 tank,8,62.85,7427
OK,2 tanks,1,38.87,2801
OK,2 tanks,2,25.91,3980
OK,2 tanks,3,37.2,4381
OK,2 tanks,4,49.9,4890
OK,2 tanks,5,56.45,4945
OK,2 tanks,6,60.04,4252
OK,2 tanks,7,61.79,3720
OK,2 tanks,8,62.86,7116
OK,3 tanks,1,42.03,965
OK,3 tanks,2,26.15,1904
OK,3 tanks,3,37.24,3171
OK,3 tanks,4,50.06,5143
OK,3 tanks,5,56.65,6256
OK,3 tanks,6,59.98,6170
OK,3 tanks,7,61.75,5194
OK,3 tanks,8,62.85,6470
OK,4+ tanks,1,53.4,655
OK,4+ tanks,2,27.53,831
OK,4+ tanks,3,37.2,1454
OK,4+ tanks,4,50.01,2431
OK,4+ tanks,5,56.61,2867
OK,4+ tanks,6,59.98,2814
OK,4+ tanks,7,61.72,2495
OK,4+ tanks,8,62.86,3866
SD,1 tank,1,0,211
SD,1 tank,2,0,344
SD,1 tank,3,0,512
SD,1 tank,4,0,869
SD,1 tank,5,0,1564
SD,1 tank,6,0,2115
SD,1 tank,7,0,2257
SD,1 tank,8,0,6910
SD,2 tanks,1,0,418
SD,2 tanks,2,0,594
SD,2 tanks,3,0,783
SD,2 tanks,4,0,1077
SD,2 tanks,5,0,1467
SD,2 tanks,6,0,1808
SD,2 tanks,7,0,2025
SD,2 tanks,8,0,5169
SD,3 tanks,1,0,335
SD,3 tanks,2,0,597
SD,3 tanks,3,0,915
SD,3 tanks,4,0,1142
SD,3 tanks,5,0,1396
SD,3 tanks,6,0,1478
SD,3 tanks,7,0,1521
SD,3 tanks,8,0,3028
SD,4+ tanks,1,0,290
SD,4+ tanks,2,0,515
SD,4+ tanks,3,0,938
SD,4+ tanks,4,0,1427
SD,4+ tanks,5,0,1912
SD,4+ tanks,6,0,2223
SD,4+ tanks,7,0,2066
SD,4+ tanks,8,0,2774
TN,1 tank,1,187.89,776
TN,1 tank,2,104.31,1546
TN,1 tank,3,126.26,2410
TN,1 tank,4,165.72,3005
TN,1 tank,5,183.98,3308
TN,1 tank,6,201.65,3262
TN,1 tank,7,210.44,3045
TN,1 tank,8,214.99,10181
TN,2 tanks,1,182.38,2239
TN,2 tanks,2,103.14,3930
TN,2 tanks,3,126.2,4780
TN,2 tanks,4,164.2,4874
TN,2 tanks,5,181.04,4358
TN,2 tanks,6,201.64,3566
TN,2 tanks,7,210.5,3064
TN,2 tanks,8,214.93,9134
TN,3 tanks,1,191.49,3627
TN,3 tanks,2,104.87,5383
TN,3 tanks,3,126.29,6915
TN,3 tanks,4,165.65,7204
TN,3 tanks,5,183.63,7058
TN,3 tanks,6,200.9,6043
TN,3 tanks,7,209.83,4757
TN,3 tanks,8,214.92,7691
TN,4+ tanks,1,187.43,1943
TN,4+ tanks,2,102.54,3308
TN,4+ tanks,3,126.47,5173
TN,4+ tanks,4,166.62,6453
TN,4+ tanks,5,184.75,6517
TN,4+ tanks,6,201.2,5656
TN,4+ tanks,7,209.71,4536
TN,4+ tanks,8,214.87,6218
TX,1 tank,1,47.11,9331
TX,1 tank,2,28.22,11900
TX,1 tank,3,37.03,12351
TX,1 tank,4,48.71,11760
TX,1 tank,5,53.64,8805
TX,1 tank,6,58.25,5308
TX,1 tank,7,60.82,3210
TX,1 tank,8,62.73,3724
TX,2 tanks,1,49.26,18010
TX,2 tanks,2,28.44,22960
TX,2 tanks,3,37.04,21991
TX,2 tanks,4,48.84,21044
TX,2 tanks,5,54.47,17009
TX,2 tanks,6,59.17,11568
TX,2 tanks,7,61.31,8253
TX,2 tanks,8,62.76,9561
TX,3 tanks,1,51.61,5230
TX,3 tanks,2,28.77,9576
TX,3 tanks,3,37.08,17499
TX,3 tanks,4,49.34,25926
TX,3 tanks,5,55.25,27556
TX,3 tanks,6,59.26,25269
TX,3 tanks,7,61.21,19867
TX,3 tanks,8,62.72,17188
TX,4+ tanks,1,53.58,1566
TX,4+ tanks,2,28.45,2772
TX,4+ tanks,3,37.15,7511
TX,4+ tanks,4,49.73,14519
TX,4+ tanks,5,55.83,15699
TX,4+ tanks,6,59.4,14855
TX,4+ tanks,7,61.27,12170
TX,4+ tanks,8,62.74,9608
VA,1 tank,1,4.47,1177
VA,1 tank,2,2.93,2886
VA,1 tank,3,3.7,4845
VA,1 tank,4,4.87,6615
VA,1 tank,5,5.43,8385
VA,1 tank,6,5.91,9660
VA,1 tank,7,6.17,9859
VA,1 tank,8,6.29,32831
VA,2 tanks,1,3.96,3077
VA,2 tanks,2,2.69,5596
VA,2 tanks,3,3.71,6893
VA,2 tanks,4,4.92,7252
VA,2 tanks,5,5.51,7200
VA,2 tanks,6,5.95,6523
VA,2 tanks,7,6.17,6346
VA,2 tanks,8,6.29,20664
VA,3 tanks,1,4.87,2654
VA,3 tanks,2,2.83,4533
VA,3 tanks,3,3.71,6234
VA,3 tanks,4,4.92,7260
VA,3 tanks,5,5.49,7671
VA,3 tanks,6,5.93,6732
VA,3 tanks,7,6.16,5705
VA,3 tanks,8,6.29,11292
VA,4+ tanks,1,4.34,1724
VA,4+ tanks,2,2.67,3598
VA,4+ tanks,3,3.72,7001
VA,4+ tanks,4,4.97,9595
VA,4+ tanks,5,5.6,9849
VA,4+ tanks,6,5.97,9243
VA,4+ tanks,7,6.17,7658
VA,4+ tanks,8,6.29,10659
