cohort,var,hr,coef,se,p,ci_lo,ci_hi
1989,did_term_c1989,1.34772620144998,0.298418877208191,0.0380772461813444,0.0731391055424806,1.25080516342714,1.45215735206757
1990,did_term_c1990,1.32669133074864,0.282688121471985,0.0395257911292878,0.0433371920770444,1.22779216770132,1.4335568619719
1991,did_term_c1991,1.46494120734729,0.381815110160184,0.0473605142214128,0.0127380741787829,1.33507637811418,1.60743817819282
1992,did_term_c1992,1.82487042353184,0.601508983709307,0.056542173274753,0.00153415146880213,1.63343690243262,2.03873933405189
1993,did_term_c1993,1.83149181978001,0.605130836822178,0.0618825348346353,0.000743079378943503,1.6222937916516,2.06766635191653
1994,did_term_c1994,1.75531201347269,0.562646626570394,0.0614128003815163,0.00448865992274356,1.55624759807275,1.97983937032719
1995,did_term_c1995,1.64635190646891,0.49856187434258,0.0650353445509051,0.00870186863507086,1.44931727253637,1.87017339218649
1996,did_term_c1996,1.82890713187343,0.603718592763374,0.069938958761951,0.00209010808695602,1.59462441750533,2.09761073535444
1997,did_term_c1997,1.76559605717724,0.568488342823119,0.0832478423759098,0.00177974642375269,1.49978621072399,2.07851586768156
