make_model_tank,closure_rate_Control,closure_rate_Texas,n_Control,n_Texas,pre_gap
Double-Walled_Diesel-Only_1k-5k_1991,0.00288259958071279,0.0569620253164557,3816,158,0.0540794257357429
Double-Walled_Motor-Fuel-Mixed_12k-25k_1997,0.0531914893617021,0,188,86,-0.0531914893617021
Single-Walled_Diesel-Only_25k-Plus_1989,0,0.0526315789473684,100,19,0.0526315789473684
Single-Walled_Diesel-Only_Under-1k_1989,0.0294252873563218,0.0813953488372093,2175,86,0.0519700614808875
Single-Walled_Other-Fuel_12k-25k_1993,0.051063829787234,0,705,324,-0.051063829787234
Single-Walled_Other-Fuel_12k-25k_1992,0.049469964664311,0,849,336,-0.049469964664311
Double-Walled_Other-Fuel_1k-5k_1991,0.0119344495903099,0.0606060606060606,5614,231,0.0486716110157507
Single-Walled_Gasoline-Only_1k-5k_1995,0.0599309695638532,0.107438016528926,3187,121,0.0475070469650725
Double-Walled_Other-Fuel_1k-5k_1990,0.0131813812989153,0.0598086124401914,7283,418,0.0466272311412761
Single-Walled_Other-Fuel_5k-12k_1994,0.0463414634146341,0,2050,815,-0.0463414634146341
Single-Walled_Other-Fuel_5k-12k_1997,0.0453972257250946,0,793,160,-0.0453972257250946
Single-Walled_Other-Fuel_Under-1k_1993,0.0399709302325581,0.0833333333333333,1376,24,0.0433624031007752
Double-Walled_Diesel-Only_1k-5k_1990,0.00566037735849057,0.0472972972972973,4770,148,0.0416369199388067
Single-Walled_Other-Fuel_1k-5k_1994,0.0567490879610863,0.0170940170940171,2467,234,-0.0396550708670692
Double-Walled_Diesel-Only_1k-5k_1989,0.00611280911364268,0.0454545454545455,3599,132,0.0393417363409028
Single-Walled_Other-Fuel_5k-12k_1993,0.0392484342379958,0,2395,876,-0.0392484342379958
Double-Walled_Other-Fuel_25k-Plus_1996,0.037037037037037,0,81,3,-0.037037037037037
Single-Walled_Other-Fuel_1k-5k_1997,0.100704934541793,0.0638297872340426,993,47,-0.03687514730775
Single-Walled_Other-Fuel_12k-25k_1994,0.0345345345345345,0,666,410,-0.0345345345345345
Single-Walled_Gasoline-Only_1k-5k_1993,0.00929889298892989,0.0436893203883495,6775,206,0.0343904273994196
Single-Walled_Diesel-Only_1k-5k_1997,0.013986013986014,0.0476190476190476,1144,21,0.0336330336330336
Double-Walled_Other-Fuel_Under-1k_1990,0.0189588688946015,0.0511627906976744,3112,215,0.0322039218030729
Single-Walled_Gasoline-Only_Under-1k_1989,0.0581092801387684,0.0268456375838926,2306,149,-0.0312636425548758
Double-Walled_Motor-Fuel-Mixed_5k-12k_1994,0.03125,0,160,15,-0.03125
Double-Walled_Gasoline-Only_1k-5k_1989,0.00837209302325582,0.0394736842105263,4300,152,0.0311015911872705
Double-Walled_Motor-Fuel-Mixed_5k-12k_1993,0.0307692307692308,0,130,36,-0.0307692307692308
Single-Walled_Other-Fuel_5k-12k_1992,0.0306784660766962,0,3390,1120,-0.0306784660766962
Double-Walled_Gasoline-Only_12k-25k_1991,0.00380930393628073,0.0343915343915344,8663,756,0.0305822304552537
Single-Walled_Other-Fuel_1k-5k_1989,0.0418180735092631,0.0126782884310618,16787,1262,-0.0291397850782013
Double-Walled_Motor-Fuel-Mixed_12k-25k_1993,0.0277777777777778,0,216,60,-0.0277777777777778
Single-Walled_Gasoline-Only_Under-1k_1995,0.172897196261682,0.2,428,10,0.0271028037383178
Single-Walled_Other-Fuel_5k-12k_1996,0.0270513976555455,0,1109,231,-0.0270513976555455
Double-Walled_Other-Fuel_Under-1k_1997,0.027027027027027,0,185,2,-0.027027027027027
Single-Walled_Other-Fuel_12k-25k_1997,0.036231884057971,0.00970873786407767,276,103,-0.0265231461938933
Single-Walled_Other-Fuel_12k-25k_1991,0.0256,0,1875,608,-0.0256
Single-Walled_Other-Fuel_12k-25k_1995,0.0255863539445629,0,469,284,-0.0255863539445629
Single-Walled_Gasoline-Only_Under-1k_1990,0.0301163586584531,0.0555555555555556,1461,36,0.0254391968971024
Single-Walled_Other-Fuel_5k-12k_1991,0.0280024891101431,0.00316856780735108,4821,1578,-0.024833921302792
Single-Walled_Other-Fuel_5k-12k_1989,0.0264597292492821,0.00184794086589229,14626,3788,-0.0246117883833898
Single-Walled_Diesel-Only_25k-Plus_1991,0.024390243902439,0,82,16,-0.024390243902439
Single-Walled_Other-Fuel_12k-25k_1989,0.0244870946393117,0.00172413793103448,3022,580,-0.0227629567082772
Single-Walled_Other-Fuel_1k-5k_1991,0.0286054827175209,0.00635930047694754,5873,629,-0.0222461822405733
Double-Walled_Diesel-Only_12k-25k_1989,0.0015240030480061,0.0213903743315508,3937,187,0.0198663712835447
Single-Walled_Gasoline-Only_1k-5k_1992,0.0109799291617473,0.0302267002518892,8470,397,0.0192467710901418
Single-Walled_Diesel-Only_Under-1k_1990,0.0191666666666667,0,1200,18,-0.0191666666666667
Single-Walled_Other-Fuel_5k-12k_1990,0.0209971408148678,0.0022898266274125,11192,3057,-0.0187073141874553
