decile,mean_predicted,mean_actual,n_fac_years,n_leaks,lift
1,0.0034,0.0048,90410,437,1
2,0.0067,0.0082,90415,741,1.71
3,0.0094,0.0109,90405,984,2.27
4,0.012,0.0124,90408,1118,2.58
5,0.015,0.0143,90408,1296,2.98
6,0.0194,0.0192,90409,1732,4
7,0.0259,0.0251,90409,2266,5.23
8,0.0345,0.0336,90409,3038,7
9,0.0471,0.0462,90409,4180,9.62
10,0.0894,0.0871,90410,7871,18.15
