vintage_bin,wall_label,n_tx,n_ct,n_tot,tx_share,mean_hazard,p25_hazard,p75_hazard
1989-1998,Not All Single-Walled,1742,12578,14320,0.121648044692737,0.0248092267928327,0.0132276672897165,0.0311003108653548
Pre-1980,All Single-Walled,5715,14569,20284,0.281749161901006,0.0301395876569291,0.0144759916212487,0.036636789278534
1980-1988,All Single-Walled,8635,19706,28341,0.304682262446632,0.0231960903373095,0.0114400401340374,0.0288674918550078
1989-1998,All Single-Walled,3888,14627,18515,0.209991898460708,0.028326681977147,0.0145222990388338,0.0348312348577526
1980-1988,Not All Single-Walled,1311,7700,9011,0.145488846964821,0.0167338902956779,0.0100757057608331,0.019161707800842
Pre-1980,Not All Single-Walled,540,6203,6743,0.0800830490879431,0.0182158679144689,0.00788390381713142,0.0186102413657724
