age_bins,term,estimate,conf.low,conf.high,p.value,pct_effect,pct_conf.low,pct_conf.high
0-5,Single-Walled,-0.0781492801433006,-0.353526900736952,0.197228340450351,0.578062368930917,-7.51736419729028,-29.779289755456,21.802213267719
5-10,Single-Walled,0.0941969384608283,-0.0279230212841412,0.216316898205798,0.13058130766796,9.87761158877478,-2.75367771098348,24.1495744442898
10-15,Single-Walled,-0.041666424424273,-0.143284875278657,0.0599520264301108,0.421604691030722,-4.08103105344836,-13.3492812744507,6.17856076774526
15-20,Single-Walled,0.234368146461698,0.0253151103548666,0.44342118256853,0.0279987238326179,26.4109784098955,2.5638258845349,55.8028410575953
20-25,Single-Walled,-0.0610022153971359,-0.206032537573372,0.0840281067791004,0.409715653492287,-5.91788445187923,-18.6193403439716,8.76594639835002
25-30,Single-Walled,0.0730791305686065,-0.150905974880257,0.29706423601747,0.522515166514944,7.58156634517682,-14.0071450257011,34.590175203984
30-35,Single-Walled,-0.251145266562602,-0.670250922069999,0.167960388944796,0.240198551425229,-22.2090640867924,-48.8419805081311,18.2889754208446
35+,Single-Walled,0.302207608694677,-0.587762143216387,1.19217736060574,0.50570117360247,35.2842059330869,-44.4430821118672,229.42461660306
0-5,Double-Walled,-0.254204209215498,-0.311056900229242,-0.197351518201754,1.89204958455672e-18,-22.446658519527,-26.7327814532065,-17.9097979412777
5-10,Double-Walled,-0.446009763441791,-0.565631989072026,-0.326387537811557,2.71758150409693e-13,-35.9822478304835,-43.1998937163676,-27.8474485175636
10-15,Double-Walled,-0.153460965054707,-0.431403389192408,0.124481459082995,0.27918177318798,-14.2265754845304,-35.0403182420112,13.2561021545673
15-20,Double-Walled,0.0932658385411403,-0.0935025646599985,0.280034241742279,0.327708521892461,9.77535216770613,-8.9264318304168,32.3175119383164
20-25,Double-Walled,-0.0965732439279629,-0.261460985774171,0.0683144979182456,0.250996224323674,-9.20566061762509,-23.007408709817,7.07019890799523
25-30,Double-Walled,-0.149119182194841,-0.418649354483414,0.120410990093732,0.278204407879516,-13.8533562680371,-34.2065143267032,12.7960336853493
30-35,Double-Walled,-0.186752860659283,-0.997735079826215,0.62422935850765,0.65174437226474,-17.0351250104015,-63.1286396962303,86.6806764201745
35+,Double-Walled,-0.716678367078652,-1.4383029168834,0.00494618272609582,0.051591115708304,-51.1628243517995,-76.266981383891,0.495843528067108
