facility_id,state
034042,Pennsylvania
034045,Tennessee
034072,Virginia
034073,New Jersey
034081,Michigan
034104,Arkansas
034106,Texas
1,Oklahoma
10,Louisiana
10000004,New Mexico
10000011,Maine
10000017,Montana
10000022,Idaho
10000028,Kansas
10000029,South Dakota
10000030,Alabama
10000031,Minnesota
10000037,Connecticut
10000041,North Carolina
10000042,Illinois
10000043,Massachusetts
10000049,Ohio
10000052,Pennsylvania
10000053,Tennessee
10000055,Virginia
10000060,New Jersey
10000069,Michigan
10000072,Arkansas
10000075,Texas
10000085,Oklahoma
10000089,Louisiana
10000090,New Mexico
10000092,Maine
10000097,Montana
10000098,Idaho
10000106,Kansas
10000111,South Dakota
10000113,Alabama
10000115,Minnesota
10000122,Connecticut
10000123,North Carolina
10000138,Illinois
10000152,Massachusetts
10000153,Ohio
10000155,Pennsylvania
10000156,Tennessee
10000157,Virginia
10000161,New Jersey
10000166,Michigan
10000171,Arkansas
10000172,Texas
10000173,Oklahoma
10000174,Louisiana
10000177,New Mexico
10000181,Maine
10000185,Montana
10000188,Idaho
10000195,Kansas
10000205,South Dakota
10000210,Alabama
10000213,Minnesota
10000225,Connecticut
10000232,North Carolina
10000236,Illinois
10000239,Massachusetts
10000242,Ohio
10000247,Pennsylvania
10000248,Tennessee
10000251,Virginia
10000253,New Jersey
10000257,Michigan
10000258,Arkansas
10000262,Texas
10000265,Oklahoma
10000266,Louisiana
10000268,New Mexico
10000274,Maine
10000275,Montana
10000278,Idaho
10000282,Kansas
10000283,South Dakota
10000284,Alabama
1000029,Minnesota
10000293,Connecticut
10000295,North Carolina
10000297,Illinois
10000301,Massachusetts
10000302,Ohio
10000304,Pennsylvania
10000308,Tennessee
10000313,Virginia
10000315,New Jersey
10000338,Michigan
10000354,Arkansas
10000359,Texas
10000361,Oklahoma
10000362,Louisiana
10000368,New Mexico
10000369,Maine
10000374,Montana
10000383,Idaho
10000387,Kansas
10000388,South Dakota
10000399,Alabama
10000403,Minnesota
10000407,Connecticut
10000413,North Carolina
