has_single_walled,age_bin,pd_mean,pd_per1k,obs_mean,obs_per1k,n_fac_years,n_events,wall_label
0,0-2,0.291441684979894,291.441684979894,0.00937861423614762,9.37861423614762,95110,892,Double-Walled
0,12-14,0.415583372016457,415.583372016457,0.00355905933679034,3.55905933679034,52261,186,Double-Walled
0,15-17,0.449083610754572,449.083610754572,0.00438444389398068,4.38444389398068,40370,177,Double-Walled
0,18-20,0.483045043132241,483.045043132241,0.00500962112666711,5.00962112666711,30142,151,Double-Walled
0,21-23,0.517169219462567,517.169219462567,0.00472382021420888,4.72382021420888,21381,101,Double-Walled
0,24+,0.551151680019624,551.151680019624,0.00646283867760378,6.46283867760378,56322,364,Double-Walled
0,3-5,0.320547724586707,320.547724586707,0.00306430634245277,3.06430634245277,90722,278,Double-Walled
0,6-8,0.351072883006879,351.072883006879,0.00331065594644741,3.31065594644741,82461,273,Double-Walled
0,9-11,0.382827031147819,382.827031147819,0.0035450828945979,3.5450828945979,66289,235,Double-Walled
1,0-2,0.364609165046305,364.609165046305,0.00532480034597688,5.32480034597688,480957,2561,Single-Walled
1,12-14,0.497737969262859,497.737969262859,0.00842248801766112,8.42248801766112,394539,3323,Single-Walled
1,15-17,0.53183843295268,531.83843295268,0.0102593154125502,10.2593154125502,305381,3133,Single-Walled
1,18-20,0.565666760770697,565.666760770697,0.0119878672642492,11.9878672642492,220890,2648,Single-Walled
1,21-23,0.598927572613181,598.927572613181,0.0122691353336694,12.2691353336694,152741,1874,Single-Walled
1,24+,0.631343677472427,631.343677472427,0.0129203945859142,12.9203945859142,326925,4224,Single-Walled
1,3-5,0.396824680232357,396.824680232357,0.00291415130412616,2.91415130412616,517818,1509,Single-Walled
1,6-8,0.429934645120856,429.934645120856,0.00459527962132594,4.59527962132594,521187,2395,Single-Walled
1,9-11,0.463669282366104,463.669282366104,0.00660647480951788,6.60647480951788,473929,3131,Single-Walled
