group,n,mean,median,p25,p75
Control Pre-Reform,5368,1.56386102516265,0.668035592060233,0.323066392881588,1.42140086698608
Control Post-Reform,3428,16.0060177856093,15.656399726215,11.1724845995893,20.4346338124572
Texas Pre-Reform,1269,1.07782051399607,0.58590006844627,0.249144421629021,0.829568788501027
Texas Post-Reform,448,12.4495798499071,12.1533196440794,9.41683778234086,15.6865160848734
