Group,risk_category_fac,leak_rate_per1000,n_events,n_fac_years,se_rate
Control,High (2),12.8706696150139,1135,88185,0.379568566446255
Control,Medium (1),15.9096613851384,5134,322697,0.220267533285619
Control,Low (0),12.4501886284974,1759,141283,0.295000340182661
Control,Very High (3),13.3623525838943,792,59271,0.471627562308736
Texas,Very High (3),10.4001808727108,230,22115,0.682192244658168
Texas,Medium (1),11.9038796457554,1285,107948,0.330093186811297
Texas,Low (0),9.31281246936575,190,20402,0.672469095576334
Texas,High (2),14.1797388146202,367,25882,0.734909851498527
