Group,N_tanks,Mean_age,Median_age,Pct_SingleWalled,Pct_OldAtTx,Pct_Pre1980,Pct_1980_1988,Pct_1989_1998,Pct_Events
Control,218115,14.63,12.6,68.9,22.6,24.8,38.5,36.6,47.2
Texas,62226,15.42,14,86.3,23.9,26.7,48.6,24.7,49.8
