spec,sample,r2,resid_sd,resid_sd_over_sdP,coef_regime,se_regime,n
R1_RB,RB,0.944098,131.180685,0.236435,,,426791
R2_FF,FF,0.12618,508.858993,0.934784,,,1925166
R3_pooled,pooled,0.350505,490.62014,0.805912,709.512036,126.161828,2351957
