scope,state,N,uniform_prem,mean_tanks,share_over,spread_pct,fee_pct_fair
single_2005,LA,4168,15970.6557197941,2.64515355086372,0.464011516314779,0.214787631451763,0.00894379631323506
single_2005,TN,7206,17287.1307506099,2.83666389120178,0.458368026644463,0.215198406549264,0.0410227690778255
single_2005,CO,3109,15152.2939737763,2.56963653908009,0.413316178835639,0.221653920444877,0.0059355553042632
pooled_all_years,CO,133139,15240.8116848225,2.56447021533886,0.397975048633383,0.236660223863725,0.00394919503774819
pooled_all_years,TN,324479,16596.9977968617,2.754474095396,0.425247858875305,0.233678382833415,0.0213895182626331
pooled_all_years,LA,189308,15441.9201941266,2.65559828427747,0.423547869081074,0.227092179582495,0.00321162089206067
