Model,beta,se,p
Headline (Pooled + VFE),-0.00518647772353293,0.00571912024446384,0.375835688751688
Spec A,-0.00250700650043768,0.00523569912092474,0.637524306195962
Spec B + mandate,-0.00891133703727942,0.00714133014582001,0.227245115694891
Headline Leak,-0.00961743207563996,0.00259050730787174,0.00147682153862048
Spec A Leak,-0.00217346033563005,0.00313215325645615,0.496130358339414
