col,panel,spec_label,sample,did_coef,crve_se,crve_p,boot_se,boot_p,boot_ci_lo,boot_ci_hi,n_obs
1,A,"A1: Full panel, year FE",Full panel,0.0134785269299621,0.00642777776159043,0.0512646176995375,0.00641851641721616,0.0005000500050005,0.00281646145497004,0.0240728093204369,12061083
2,A,"A2: Full panel, cell x year FE",Full panel,0.0190224424489701,0.00589862870423417,0.00497377015041297,0.00589903461236191,0,0.010457910038472,0.0275462998817337,12061066
3,A,"A3: Full panel, Pop-Weighted ATT",Full panel,0.0185817304000122,0.00555346030173599,0.00383019109514795,0.00555244164610721,0,0.0102709008454163,0.0268411424996694,12061066
4,B,"B1: PSM, year FE",PSM (birth),0.00446653903456408,0.00325321586723362,0.187605094324509,0.00323592111143151,0.199119911991199,-0.00156100501991036,0.0105097850310517,1840521
5,B,"B2: PSM, cell x year FE",PSM (birth),0.00784943991938788,0.0029306832598975,0.0158754100879084,0.00292768005243778,0,0.00307223604625015,0.012621047081599,1840474
6,C,"C1: CEM, year FE",CEM (birth),0.00555205188077839,0.00366400367565801,0.148069733832905,0.0036634993867203,0.126312631263126,-0.00100366418455142,0.0121151603675847,4723750
7,C,"C2: CEM, cell x year FE",CEM (birth),0.00858219156414819,0.00338763851032554,0.0214295180190601,0.00339289262120135,0,0.00325532067676268,0.0139496623059913,4723750
