get,texas_share
-5,0.163346929077733
-4,0.158723021582734
-3,0.157636201250372
-2,0.157075051913379
-1,0.156971645717626
0,0.156150506512301
1,0.154812952831584
2,0.154560431331436
3,0.153846153846154
4,0.152952115295212
5,0.152705474049535
6,0.152757678083293
7,0.152732060566162
8,0.153325435775935
9,0.151593901593902
10,0.150769775261016
11,0.151076533381581
12,0.151257396449704
13,0.152599849284099
14,0.154302103250478
15,0.156759906759907
16,0.159400276188597
17,0.16084613849531
18,0.163124873507387
19,0.167581463211283
