term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-1.20605831082535,0.00492142062845954,-245.063042132787,0,-1.21571369667427,-1.19641967740918
texas,-17.3600101995705,28.0601355017479,-0.61867164534858,0.536132692999709,,-15.5609445912424
