SampleGroup,N_facilities,SW_share,Motor_fuel_share,Single_tank_share,Mean_age_1998
Full — Control,69067,0.630689718053844,0.793577251075043,0.61133392213358,15.4031346070638
Make-Model — Control,8001,1,1,1,6.50573467436873
Full — Texas,20448,0.836188215843416,0.592771909233177,0.803550469483568,15.892698227509
Make-Model — Texas,1744,1,1,1,6.01988719597252
