Group,N_facilities,N_tanks,Mean_age_1998,Median_age_1998,SD_age_1998,Pct_pre_1988,Pct_single_wall,Pct_double_wall,Tanks_per_fac,Vintage_pre1980,Vintage_1980_1988,Vintage_1989_1998,Median_capacity_gal,Mean_capacity_gal,Pct_mixed_wall,Pct_age_0_4,Pct_age_5_9,Pct_age_10_14,Pct_age_15_19,Pct_age_20_24,Pct_age_25_29,Pct_age_30_34,Pct_age_35+
Control,77068,214948,14.9,12.7,10.8,64.5,69.3,10.8,2.8,25.3,39.3,35.4,8000,7673,1.7,14,21.6,25.3,16,9.8,5.8,3.8,3.7
Texas,22192,61782,15.6,14.6,11.2,76.3,86.7,10.1,2.8,27.1,49.2,23.7,8000,8022,1.3,10.3,13.4,31.6,20.4,12.1,6.8,3.1,2.3
