Group,N_fac_years,Avg_closure_rate,Avg_exit_rate,Avg_leak_incidence,Leaks_per_1000,Avg_n_closures
Control,1112436,0.0957,0.0704,0.0186,18.88,0.2049
Texas,320779,0.0934,0.0745,0.0122,12.34,0.2103
