group,n,mean,median
Control Pre-Reform,5368,1.56386102516267,0.668035592060233
Control Post-Reform,3428,16.0060177856094,15.656399726215
Texas Pre-Reform,1269,1.07782051399607,0.58590006844627
Texas Post-Reform,448,12.4495798499071,12.1533196440794
