truth_label,start_label,N,mean_kappa,bias_kappa,sd_kappa,rmse_kappa,mean_K,bias_K,sd_K,rmse_K,mean_gp,bias_gp,sd_gp,rmse_gp,mean_gr,bias_gr,sd_gr,rmse_gr,cor_kappa_K,cor_kappa_gr,mean_replace_sh,mean_exit_sh,conv_rate,mean_n_iter
truth1,warm,200,8.00008291332459,8.29133245918712e-05,0.475115208896998,0.473925939669091,4.00432346670277,0.00432346670277095,0.0603820165211507,0.0603858455591596,-0.996416945210728,0.0035830547892719,0.0685904758025895,0.0685125418123894,0.599740173080674,-0.000259826919326467,0.0148454735721378,0.0148105926681258,-0.849396187529674,-0.871611649737516,0.0618969909663028,0.0113894904973924,1,6.37
truth1,mid,200,7.99830716103196,-0.00169283896804462,0.483791500145838,0.482583474892236,4.00453926935422,0.00453926935422455,0.0614372951443395,0.0614513913166302,-0.996427054002943,0.00357294599705715,0.0688379349493356,0.0687585189249042,0.599796837922896,-0.000203162077104135,0.0149868695154137,0.0149507358150778,-0.854982456314655,-0.873784943937992,0.0618969909663028,0.0113894904973924,1,6.185
truth1,cold,200,7.99508678241106,-0.00491321758893637,0.484422145407117,0.483234550289097,4.0048838768927,0.00488387689269842,0.061979912735155,0.0620173708588746,-0.99662068237192,0.00337931762807997,0.0686572624368774,0.0685687273801335,0.599884866047847,-0.00011513395215268,0.0151222017415023,0.0150847882454504,-0.857324964490279,-0.875980638364501,0.0618969909663028,0.0113894904973924,1,6.275
truth2,warm,200,9.9807755467709,-0.0192244532290964,0.374679044812751,0.37423527932391,5.00807037111592,0.00807037111591935,0.0709268044177026,0.071208071290628,-0.998714679189048,0.00128532081095145,0.0892414487855778,0.0890273443950185,0.601008296030555,0.00100829603055508,0.0111545900161197,0.0111722609583205,-0.761515238236225,-0.630286599726101,0.0426673545563459,0.0275663372546393,1,7.11
truth2,mid,200,9.98073895306934,-0.019261046930664,0.37471833665328,0.374276302474449,5.00809275175168,0.00809275175167912,0.0709390109638418,0.0712227083945825,-0.998642010887344,0.00135798911265606,0.0892444468172203,0.0890314133646276,0.601016803412822,0.00101680341282151,0.0111614825200174,0.0111798787008069,-0.761662493288277,-0.630584657006508,0.0426673545563459,0.0275663372546393,1,7.245
truth2,cold,200,9.9808797274717,-0.0191202725283031,0.374827229104493,0.374377562417031,5.00806056448693,0.00806056448692871,0.0709867744752259,0.0712663962852938,-0.998669618740178,0.0013303812598221,0.0892568823958448,0.089043399609668,0.60100987320475,0.00100987320474988,0.0111647421565227,0.0111824887200569,-0.761817435806953,-0.630749801706956,0.0426673545563459,0.0275663372546393,1,7.25
truth3,warm,200,11.935383478988,-0.0646165210119882,0.39086358086528,0.39520344373536,6.01431520998616,0.0143152099861545,0.109766428227802,0.110423505917026,-1.00877228708159,-0.00877228708158584,0.0850397276929881,0.0852792444285761,0.601266829979373,0.00126682997937255,0.0146501975585618,0.014668333417911,-0.829107432579461,-0.764193557652452,0.0248063733306025,0.0602075166409852,1,5.89
truth3,mid,200,11.9354221285647,-0.0645778714352723,0.390363590393487,0.394705099435617,6.01430435101824,0.0143043510182386,0.109695569781183,0.110352013563519,-1.00876313179918,-0.00876313179918098,0.0850608802625517,0.0852992911061679,0.601266257473808,0.00126625747380782,0.0146435290305757,0.0146616569918595,-0.828747661684961,-0.763740045588925,0.0248063733306025,0.0602075166409852,1,5.92
truth3,cold,200,11.9352715508337,-0.0647284491662532,0.390740930155543,0.395101068408822,6.01433999988373,0.0143399998837319,0.109763652326658,0.110423976888592,-1.00878031038594,-0.00878031038593807,0.0850100968560658,0.0852506705845397,0.601270507128407,0.00127050712840715,0.0146547626485371,0.0146731880076167,-0.829162680670961,-0.764277802044858,0.0248063733306025,0.0602075166409852,1,5.94
truth4,warm,200,14.9959158528419,-0.00408414715808192,0.500502405406125,0.499266286450667,6.00821273512578,0.00821273512577925,0.141435367332554,0.141320176673673,-1.00001225315483,-1.22531548272242e-05,0.114366792102605,0.114080517487874,0.600075448512886,7.54485128858784e-05,0.0185804260430707,0.0185340703370956,-0.74829417416415,-0.721436278219342,0.0107195825770715,0.139031432042967,1,17.66
truth4,mid,200,14.9920423967567,-0.00795760324330175,0.501973657924615,0.500780379940494,6.00890689223953,0.00890689223953434,0.14162609270149,0.141552086217718,-1.00066716235679,-0.000667162356789319,0.114438505785241,0.114154000604171,0.600161879975854,0.000161879975853707,0.0185927378373112,0.0185469042136992,-0.748976792068403,-0.721987581923725,0.0107195825770715,0.139031432042967,1,18.745
truth4,cold,200,14.9943193020816,-0.00568069791836123,0.501002467922968,0.49978067772716,6.0084963845621,0.00849638456209867,0.141668226495788,0.141568801355018,-1.0002733983967,-0.000273398396700708,0.114463002645948,0.114176813874517,0.600112406887526,0.000112406887525895,0.0185670966043424,0.0185209618066063,-0.749222439779007,-0.72124057239419,0.0107195825770715,0.139031432042967,1,19.75
truth5,warm,200,15.020683719708,0.0206837197080265,0.606716330086877,0.605550987059783,8.01597802692301,0.0159780269230065,0.276793310986269,0.276562401034667,-0.998970054910465,0.00102994508953513,0.119029199917723,0.118735721111111,0.599370624513563,-0.000629375486437045,0.0208722163557901,0.0208294810791778,-0.545981405823147,-0.804766041545031,0.00164882608347545,0.160693176211573,1,14.775
truth5,mid,200,15.0210599783165,0.0210599783165417,0.606367006389264,0.605215717238063,8.01586754027548,0.0158675402754813,0.276738510667037,0.276501466730599,-0.998928497235464,0.00107150276453627,0.119089359601226,0.118796095518975,0.599359915121076,-0.000640084878924085,0.0208370910873732,0.0207947866498023,-0.545673458620362,-0.804098030754274,0.00164882608347545,0.160693176211573,1,14.18
truth5,cold,200,15.0207183842233,0.0207183842233416,0.60569611520383,0.604535107746418,8.01596764773629,0.0159676477362876,0.276356736835724,0.276127047821736,-0.999026068900182,0.000973931099817693,0.119149062782402,0.118854807256174,0.599362588072859,-0.000637411927141063,0.0208246888459593,0.0207823391649792,-0.543707207479232,-0.803806667679759,0.00164882608347545,0.160693176211573,1,16.365
