# CF B per-cell comparison uses cf_B at E = HEALTH_ONLY ($17K, Marcus 2021 SVI)
s_idx,A_bin,w_state,rho_state,n_cell,V_baseline,V_cf,delta_V,P_M_base,P_M_cf,P_E_base,P_E_cf,P_R_base,P_R_cf,counterfactual,E_label
8,8,1,1,410728,29.0941,29.07,-0.024,0.97716,0.97663,0.02136,0.02188,0.00148,0.00149,B_Pigouvian_internalizeE,HEALTH_ONLY
9,1,2,1,64621,28.0124,27.9813,-0.0311,0.99002,0.98989,0.00405,0.00418,0.00593,0.00593,B_Pigouvian_internalizeE,HEALTH_ONLY
10,2,2,1,77103,28.162,28.1418,-0.0202,0.99141,0.99139,0.00349,0.00356,0.0051,0.00505,B_Pigouvian_internalizeE,HEALTH_ONLY
11,3,2,1,77966,28.0704,28.0525,-0.0179,0.99059,0.99058,0.00382,0.00389,0.00559,0.00553,B_Pigouvian_internalizeE,HEALTH_ONLY
12,4,2,1,62241,27.961,27.9426,-0.0184,0.9895,0.98949,0.00426,0.00434,0.00624,0.00617,B_Pigouvian_internalizeE,HEALTH_ONLY
13,5,2,1,41520,27.9747,27.9606,-0.0141,0.98964,0.98967,0.00421,0.00427,0.00615,0.00606,B_Pigouvian_internalizeE,HEALTH_ONLY
14,6,2,1,20407,27.8121,27.7975,-0.0146,0.98781,0.98785,0.00495,0.00502,0.00724,0.00713,B_Pigouvian_internalizeE,HEALTH_ONLY
15,7,2,1,4872,27.2009,27.1817,-0.0192,0.97754,0.9775,0.00912,0.0093,0.01334,0.0132,B_Pigouvian_internalizeE,HEALTH_ONLY
16,8,2,1,2867,27.3012,27.2718,-0.0294,0.97968,0.97944,0.00825,0.0085,0.01207,0.01207,B_Pigouvian_internalizeE,HEALTH_ONLY
17,1,1,2,3350,29.0166,29.0354,0.0188,0.97527,0.9757,0.02308,0.02265,0.00165,0.00165,B_Pigouvian_internalizeE,HEALTH_ONLY
18,2,1,2,9999,28.9379,28.9569,0.0189,0.97324,0.97371,0.02497,0.0245,0.00179,0.00178,B_Pigouvian_internalizeE,HEALTH_ONLY
19,3,1,2,19093,28.9533,28.9762,0.0229,0.97365,0.97422,0.02459,0.02403,0.00176,0.00175,B_Pigouvian_internalizeE,HEALTH_ONLY
20,4,1,2,26212,29.1422,29.1739,0.0317,0.97819,0.97884,0.02036,0.01972,0.00146,0.00144,B_Pigouvian_internalizeE,HEALTH_ONLY
21,5,1,2,36841,29.1485,29.1835,0.035,0.97833,0.97905,0.02023,0.01953,0.00145,0.00142,B_Pigouvian_internalizeE,HEALTH_ONLY
22,6,1,2,37789,28.9756,29.0065,0.0309,0.97423,0.97499,0.02405,0.02332,0.00172,0.0017,B_Pigouvian_internalizeE,HEALTH_ONLY
23,7,1,2,31888,28.7139,28.7386,0.0247,0.96653,0.9673,0.03124,0.03048,0.00223,0.00222,B_Pigouvian_internalizeE,HEALTH_ONLY
24,8,1,2,30722,28.4426,28.4617,0.0192,0.95609,0.95687,0.04098,0.0402,0.00293,0.00293,B_Pigouvian_internalizeE,HEALTH_ONLY
25,1,2,2,18813,28.9913,29.0243,0.033,0.99284,0.99289,0.00152,0.00147,0.00564,0.00563,B_Pigouvian_internalizeE,HEALTH_ONLY
26,2,2,2,16557,28.6492,28.6709,0.0217,0.98991,0.98988,0.00214,0.0021,0.00794,0.00802,B_Pigouvian_internalizeE,HEALTH_ONLY
27,3,2,2,14499,28.4843,28.5039,0.0196,0.9881,0.98804,0.00253,0.00248,0.00937,0.00948,B_Pigouvian_internalizeE,HEALTH_ONLY
28,4,2,2,13106,28.4099,28.4301,0.0202,0.98719,0.98713,0.00272,0.00267,0.01009,0.01021,B_Pigouvian_internalizeE,HEALTH_ONLY
29,5,2,2,8677,28.0967,28.1133,0.0166,0.98247,0.98233,0.00372,0.00366,0.0138,0.01401,B_Pigouvian_internalizeE,HEALTH_ONLY
30,6,2,2,4218,27.9491,27.9664,0.0173,0.97969,0.97953,0.00432,0.00424,0.016,0.01623,B_Pigouvian_internalizeE,HEALTH_ONLY
31,7,2,2,1770,27.8479,27.8697,0.0218,0.97752,0.97746,0.00478,0.00467,0.0177,0.01787,B_Pigouvian_internalizeE,HEALTH_ONLY
32,8,2,2,976,27.7783,27.81,0.0316,0.9759,0.97607,0.00512,0.00496,0.01898,0.01897,B_Pigouvian_internalizeE,HEALTH_ONLY
1,1,1,1,46709,28.9814,29.3495,0.3681,0.97444,0.95764,0.02391,0.01655,0.00165,0.02581,C_KSW_subsidy_50pct,HEALTH_ONLY
2,2,1,1,97999,28.8464,29.2326,0.3862,0.97074,0.95239,0.02736,0.0186,0.00189,0.02902,C_KSW_subsidy_50pct,HEALTH_ONLY
3,3,1,1,180163,28.6805,29.0989,0.4183,0.96547,0.94557,0.0323,0.02126,0.00223,0.03317,C_KSW_subsidy_50pct,HEALTH_ONLY
4,4,1,1,240344,28.5657,29.0066,0.4409,0.96126,0.94031,0.03623,0.02331,0.00251,0.03637,C_KSW_subsidy_50pct,HEALTH_ONLY
5,5,1,1,255278,28.5443,28.9893,0.445,0.96043,0.93927,0.03701,0.02372,0.00256,0.03701,C_KSW_subsidy_50pct,HEALTH_ONLY
6,6,1,1,234030,28.6222,29.0513,0.429,0.96339,0.94292,0.03424,0.02229,0.00237,0.03478,C_KSW_subsidy_50pct,HEALTH_ONLY
7,7,1,1,191377,28.7854,29.1814,0.396,0.9689,0.94988,0.02909,0.01957,0.00201,0.03054,C_KSW_subsidy_50pct,HEALTH_ONLY
8,8,1,1,410728,29.0941,29.4297,0.3356,0.97716,0.9609,0.02136,0.01527,0.00148,0.02383,C_KSW_subsidy_50pct,HEALTH_ONLY
9,1,2,1,64621,28.0124,28.0124,0,0.99002,0.99002,0.00405,0.00405,0.00593,0.00593,C_KSW_subsidy_50pct,HEALTH_ONLY
10,2,2,1,77103,28.162,28.162,0,0.99141,0.99141,0.00349,0.00349,0.0051,0.0051,C_KSW_subsidy_50pct,HEALTH_ONLY
11,3,2,1,77966,28.0704,28.0704,0,0.99059,0.99059,0.00382,0.00382,0.00559,0.00559,C_KSW_subsidy_50pct,HEALTH_ONLY
12,4,2,1,62241,27.961,27.961,0,0.9895,0.9895,0.00426,0.00426,0.00624,0.00624,C_KSW_subsidy_50pct,HEALTH_ONLY
13,5,2,1,41520,27.9747,27.9747,0,0.98964,0.98964,0.00421,0.00421,0.00615,0.00615,C_KSW_subsidy_50pct,HEALTH_ONLY
14,6,2,1,20407,27.8121,27.8121,0,0.98781,0.98781,0.00495,0.00495,0.00724,0.00724,C_KSW_subsidy_50pct,HEALTH_ONLY
15,7,2,1,4872,27.2009,27.2009,0,0.97754,0.97754,0.00912,0.00912,0.01334,0.01334,C_KSW_subsidy_50pct,HEALTH_ONLY
16,8,2,1,2867,27.3012,27.3012,0,0.97968,0.97968,0.00825,0.00825,0.01207,0.01207,C_KSW_subsidy_50pct,HEALTH_ONLY
17,1,1,2,3350,29.0166,29.3808,0.3642,0.97527,0.95819,0.02308,0.01604,0.00165,0.02577,C_KSW_subsidy_50pct,HEALTH_ONLY
18,2,1,2,9999,28.9379,29.3117,0.3738,0.97324,0.9552,0.02497,0.01718,0.00179,0.02762,C_KSW_subsidy_50pct,HEALTH_ONLY
19,3,1,2,19093,28.9533,29.3227,0.3694,0.97365,0.95569,0.02459,0.017,0.00176,0.02732,C_KSW_subsidy_50pct,HEALTH_ONLY
20,4,1,2,26212,29.1422,29.4761,0.3339,0.97819,0.96199,0.02036,0.01458,0.00146,0.02343,C_KSW_subsidy_50pct,HEALTH_ONLY
21,5,1,2,36841,29.1485,29.4818,0.3333,0.97833,0.96221,0.02023,0.0145,0.00145,0.0233,C_KSW_subsidy_50pct,HEALTH_ONLY
22,6,1,2,37789,28.9756,29.3425,0.367,0.97423,0.95656,0.02405,0.01666,0.00172,0.02678,C_KSW_subsidy_50pct,HEALTH_ONLY
23,7,1,2,31888,28.7139,29.1337,0.4198,0.96653,0.94647,0.03124,0.02053,0.00223,0.033,C_KSW_subsidy_50pct,HEALTH_ONLY
24,8,1,2,30722,28.4426,28.9184,0.4759,0.95609,0.93361,0.04098,0.02546,0.00293,0.04093,C_KSW_subsidy_50pct,HEALTH_ONLY
25,1,2,2,18813,28.9913,28.9913,0,0.99284,0.99284,0.00152,0.00152,0.00564,0.00564,C_KSW_subsidy_50pct,HEALTH_ONLY
26,2,2,2,16557,28.6492,28.6492,0,0.98991,0.98991,0.00214,0.00214,0.00794,0.00794,C_KSW_subsidy_50pct,HEALTH_ONLY
27,3,2,2,14499,28.4843,28.4843,0,0.9881,0.9881,0.00253,0.00253,0.00937,0.00937,C_KSW_subsidy_50pct,HEALTH_ONLY
28,4,2,2,13106,28.4099,28.4099,0,0.98719,0.98719,0.00272,0.00272,0.01009,0.01009,C_KSW_subsidy_50pct,HEALTH_ONLY
29,5,2,2,8677,28.0967,28.0967,0,0.98247,0.98247,0.00372,0.00372,0.0138,0.0138,C_KSW_subsidy_50pct,HEALTH_ONLY
30,6,2,2,4218,27.9491,27.9491,0,0.97969,0.97969,0.00432,0.00432,0.016,0.016,C_KSW_subsidy_50pct,HEALTH_ONLY
31,7,2,2,1770,27.8479,27.8479,0,0.97752,0.97752,0.00478,0.00478,0.0177,0.0177,C_KSW_subsidy_50pct,HEALTH_ONLY
32,8,2,2,976,27.7783,27.7783,0,0.9759,0.9759,0.00512,0.00512,0.01898,0.01898,C_KSW_subsidy_50pct,HEALTH_ONLY
1,1,1,1,46709,28.9814,28.9592,-0.0222,0.97444,0.97545,0.02391,0.02445,0.00165,1e-04,D_K_tax_50pct,HEALTH_ONLY
2,2,1,1,97999,28.8464,28.8229,-0.0235,0.97074,0.97187,0.02736,0.02801,0.00189,0.00012,D_K_tax_50pct,HEALTH_ONLY
3,3,1,1,180163,28.6805,28.6546,-0.0259,0.96547,0.96671,0.0323,0.03315,0.00223,0.00014,D_K_tax_50pct,HEALTH_ONLY
4,4,1,1,240344,28.5657,28.538,-0.0277,0.96126,0.96259,0.03623,0.03725,0.00251,0.00016,D_K_tax_50pct,HEALTH_ONLY
5,5,1,1,255278,28.5443,28.5163,-0.028,0.96043,0.96177,0.03701,0.03806,0.00256,0.00016,D_K_tax_50pct,HEALTH_ONLY
6,6,1,1,234030,28.6222,28.5955,-0.0267,0.96339,0.96468,0.03424,0.03517,0.00237,0.00015,D_K_tax_50pct,HEALTH_ONLY
7,7,1,1,191377,28.7854,28.7612,-0.0242,0.9689,0.97008,0.02909,0.0298,0.00201,0.00013,D_K_tax_50pct,HEALTH_ONLY
8,8,1,1,410728,29.0941,29.0744,-0.0196,0.97716,0.97812,0.02136,0.02178,0.00148,9e-05,D_K_tax_50pct,HEALTH_ONLY
9,1,2,1,64621,28.0124,27.9212,-0.0912,0.99002,0.99487,0.00405,0.00444,0.00593,0.00069,D_K_tax_50pct,HEALTH_ONLY
10,2,2,1,77103,28.162,28.0765,-0.0855,0.99141,0.99561,0.00349,0.0038,0.0051,0.00059,D_K_tax_50pct,HEALTH_ONLY
11,3,2,1,77966,28.0704,27.9776,-0.0928,0.99059,0.99515,0.00382,0.00419,0.00559,0.00065,D_K_tax_50pct,HEALTH_ONLY
12,4,2,1,62241,27.961,27.8593,-0.1017,0.9895,0.99454,0.00426,0.00472,0.00624,0.00074,D_K_tax_50pct,HEALTH_ONLY
13,5,2,1,41520,27.9747,27.8738,-0.1009,0.98964,0.99462,0.00421,0.00465,0.00615,0.00073,D_K_tax_50pct,HEALTH_ONLY
14,6,2,1,20407,27.8121,27.6947,-0.1174,0.98781,0.99357,0.00495,0.00557,0.00724,0.00087,D_K_tax_50pct,HEALTH_ONLY
15,7,2,1,4872,27.2009,27.0049,-0.196,0.97754,0.98718,0.00912,0.0111,0.01334,0.00173,D_K_tax_50pct,HEALTH_ONLY
16,8,2,1,2867,27.3012,27.1205,-0.1807,0.97968,0.98858,0.00825,0.00988,0.01207,0.00154,D_K_tax_50pct,HEALTH_ONLY
17,1,1,2,3350,29.0166,28.9947,-0.0219,0.97527,0.9763,0.02308,0.02359,0.00165,1e-04,D_K_tax_50pct,HEALTH_ONLY
18,2,1,2,9999,28.9379,28.9153,-0.0226,0.97324,0.97435,0.02497,0.02554,0.00179,0.00011,D_K_tax_50pct,HEALTH_ONLY
19,3,1,2,19093,28.9533,28.931,-0.0222,0.97365,0.97475,0.02459,0.02514,0.00176,0.00011,D_K_tax_50pct,HEALTH_ONLY
20,4,1,2,26212,29.1422,29.1226,-0.0196,0.97819,0.97915,0.02036,0.02076,0.00146,9e-05,D_K_tax_50pct,HEALTH_ONLY
21,5,1,2,36841,29.1485,29.1289,-0.0196,0.97833,0.97928,0.02023,0.02063,0.00145,9e-05,D_K_tax_50pct,HEALTH_ONLY
22,6,1,2,37789,28.9756,28.9535,-0.0221,0.97423,0.97531,0.02405,0.02459,0.00172,0.00011,D_K_tax_50pct,HEALTH_ONLY
23,7,1,2,31888,28.7139,28.6877,-0.0262,0.96653,0.96779,0.03124,0.03207,0.00223,0.00014,D_K_tax_50pct,HEALTH_ONLY
24,8,1,2,30722,28.4426,28.4119,-0.0307,0.95609,0.95756,0.04098,0.04226,0.00293,0.00019,D_K_tax_50pct,HEALTH_ONLY
25,1,2,2,18813,28.9913,28.8733,-0.1181,0.99284,0.99763,0.00152,0.00171,0.00564,0.00066,D_K_tax_50pct,HEALTH_ONLY
26,2,2,2,16557,28.6492,28.5119,-0.1374,0.98991,0.99659,0.00214,0.00246,0.00794,0.00095,D_K_tax_50pct,HEALTH_ONLY
27,3,2,2,14499,28.4843,28.326,-0.1583,0.9881,0.9959,0.00253,0.00296,0.00937,0.00114,D_K_tax_50pct,HEALTH_ONLY
28,4,2,2,13106,28.4099,28.239,-0.1708,0.98719,0.99553,0.00272,0.00323,0.01009,0.00124,D_K_tax_50pct,HEALTH_ONLY
29,5,2,2,8677,28.0967,27.8718,-0.225,0.98247,0.99354,0.00372,0.00466,0.0138,0.0018,D_K_tax_50pct,HEALTH_ONLY
30,6,2,2,4218,27.9491,27.6933,-0.2558,0.97969,0.99228,0.00432,0.00557,0.016,0.00215,D_K_tax_50pct,HEALTH_ONLY
31,7,2,2,1770,27.8479,27.5688,-0.2792,0.97752,0.99126,0.00478,0.00631,0.0177,0.00243,D_K_tax_50pct,HEALTH_ONLY
32,8,2,2,976,27.7783,27.4821,-0.2962,0.9759,0.99046,0.00512,0.00688,0.01898,0.00265,D_K_tax_50pct,HEALTH_ONLY
