Outcome,Coefficient,SE,Hazard_Ratio,CI_Lower,CI_Upper
LUST,-1.17797954912436,0.399839501976179,0.307900207810194,0.140624090584692,0.674155740850572
Exit,0.438708429739287,0.157952027288206,1.55070308256411,1.13782944996749,2.11339234570042
