term,Estimate,Std. Error,t value,Pr(>|t|)
did_term:mm_install_cohort1926,0.127819548872163,0.0163622182976829,7.81187162686025,0.000000503890338487206
did_term:mm_install_cohort1930,0.206609115672733,0.0320623270054582,6.44398379561035,0.00000605788720021329
did_term:mm_install_cohort1932,-0.0325497287522602,0.0248845787782854,-1.30802811822813,0.208275463666738
did_term:mm_install_cohort1934,0.999999999999826,0.00000100353164824651,996480.780399049,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000582340055535696
did_term:mm_install_cohort1935,0.0823406205000651,0.020303059322628,4.05557700401809,0.000822058498653535
did_term:mm_install_cohort1936,0.247206568879305,0.00431772606026092,57.253879803659,0.00000000000000000000689246475139268
did_term:mm_install_cohort1939,0.999999999997805,0.00000101447391025738,985732.594881713,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000700234364347902
did_term:mm_install_cohort1940,0.0916701967540264,0.0138502277909156,6.61867791186462,0.0000043476621935939
did_term:mm_install_cohort1941,0.211822660098522,0.0802504875606854,2.63951866882232,0.0172112927611791
did_term:mm_install_cohort1944,-0.103658536585362,0.00325452215837617,-31.8506163242969,0.000000000000000134283677789756
did_term:mm_install_cohort1946,0.0479235175596546,0.00426440050992039,11.2380432954571,0.00000000272654777125117
did_term:mm_install_cohort1947,-0.00747068003158034,0.0145969375667073,-0.511797765623075,0.615376546615154
did_term:mm_install_cohort1948,0.0502964003023052,0.00824357995776519,6.10128130739214,0.0000117533060091371
did_term:mm_install_cohort1949,0.0849974994584257,0.0137925356431132,6.16257239841652,0.0000104274102046779
did_term:mm_install_cohort1950,0.118506403038357,0.0155826040410013,7.60504487738634,0.000000722150494564847
did_term:mm_install_cohort1951,0.0429422064204246,0.00592834303601019,7.24354278414445,0.00000137318706155245
did_term:mm_install_cohort1952,0.0678076316381367,0.0180333156509055,3.76013113454995,0.00156022218474191
did_term:mm_install_cohort1953,0.000614927271788218,0.0378723534729931,0.0162368380995051,0.987234486133264
did_term:mm_install_cohort1954,0.0369654857197324,0.0153951527243197,2.40111198515999,0.028063291098975
did_term:mm_install_cohort1955,0.0415302981355562,0.0167835374596508,2.47446631768773,0.0241771203208149
did_term:mm_install_cohort1956,0.0908709882623704,0.00590880383198045,15.3789143871296,0.0000000000208266183766465
did_term:mm_install_cohort1957,0.0288447069370058,0.0155037391849439,1.86050001183054,0.0802036471335997
did_term:mm_install_cohort1958,0.101628390222062,0.010915184942588,9.31073461023428,0.0000000436408207875977
did_term:mm_install_cohort1959,0.0393898659654731,0.00501514970737537,7.85417550099165,0.000000468456080210696
did_term:mm_install_cohort1960,0.0473129195504728,0.0140507066611362,3.36729822147229,0.00365760673594763
did_term:mm_install_cohort1961,0.0680449271951119,0.00807355583574117,8.42812368917806,0.000000178204182105228
did_term:mm_install_cohort1962,0.0593583076189095,0.0123580950838079,4.80319233800712,0.000165738646756482
did_term:mm_install_cohort1963,0.0723382359784656,0.0128710972726591,5.62020738761156,0.0000305948483898651
did_term:mm_install_cohort1964,0.0644303142723763,0.00933591559852116,6.90133855565085,0.00000256437514673382
did_term:mm_install_cohort1965,0.0520024743766525,0.0143727800045607,3.6181221976647,0.0021237029756827
did_term:mm_install_cohort1966,0.0694954542318572,0.00926040892790256,7.50457725710797,0.000000861854531836145
did_term:mm_install_cohort1967,0.0554415094025629,0.0103053257073724,5.37988909587789,0.0000498885025401471
did_term:mm_install_cohort1968,0.0531829898079538,0.0110934275518444,4.79409898873964,0.000168953424027395
did_term:mm_install_cohort1969,0.0537490518685663,0.0111459803309981,4.82228124152388,0.000159191846492819
did_term:mm_install_cohort1970,0.0390210026095172,0.00783149839796857,4.98257174126971,0.000113649656408133
did_term:mm_install_cohort1971,0.0550669365406379,0.00959486790990437,5.73920736144733,0.0000240800623136694
did_term:mm_install_cohort1972,0.0281658660956958,0.0103890471235726,2.71111159288014,0.0148269404574763
did_term:mm_install_cohort1973,0.0398830681561576,0.00980567824925126,4.06734415941121,0.000801385332995856
did_term:mm_install_cohort1974,0.0409981347761016,0.0112411516946937,3.64714718648039,0.00199401775669418
did_term:mm_install_cohort1975,0.022923439646543,0.00922513729107074,2.48488872558366,0.0236680057253912
did_term:mm_install_cohort1976,0.0316993496629991,0.00896347857616362,3.53650085663132,0.00253521263232456
did_term:mm_install_cohort1977,0.023194571758949,0.00913616882158363,2.53876348083162,0.0211939839790761
did_term:mm_install_cohort1978,0.0231817923820712,0.00839496422580404,2.76139263474359,0.0133453052232085
did_term:mm_install_cohort1979,0.0262851365711022,0.0093151710885935,2.82175564153498,0.011754278650896
did_term:mm_install_cohort1980,0.0195539071721088,0.00883078467187833,2.21428875220775,0.0407613410224228
did_term:mm_install_cohort1981,0.0225716981341603,0.00662456632278279,3.40727181740685,0.0033545635928416
did_term:mm_install_cohort1982,0.0172337720591294,0.00550740888435769,3.12919785347285,0.00610980430197886
did_term:mm_install_cohort1983,0.0126801949421283,0.00561742313110586,2.25729745582331,0.0374373103398274
did_term:mm_install_cohort1984,0.00743870984357118,0.00511114614304686,1.45538977665327,0.163779499202874
did_term:mm_install_cohort1985,0.00611951705034662,0.0040346037165724,1.51675789748825,0.147702712130767
did_term:mm_install_cohort1986,0.00591710836272214,0.00410652002994742,1.44090575951675,0.16777689643679
did_term:mm_install_cohort1987,0.0235729900251562,0.00489086368180568,4.81980107375497,0.000160027296343233
