model,horizon,point_est,point_se,point_ci_lo,point_ci_hi,breakdown_RM,breakdown_SD
full_w,0,-0.00594039617384992,0.00241292291345048,-0.0106696381816843,-0.00121115416601552,,
full_w,1,0.0258571333549687,0.006423847747777,0.013266623127157,0.0384476435827804,,
pre89_w,0,-0.00817534086590274,0.00325459680974626,-0.0145542333972044,-0.00179644833460112,,
pre89_w,1,0.0323446610183104,0.00843466065326821,0.0158130299160876,0.0488762921205332,,
post88_w,0,0.000543462291441262,0.000309731071551486,-0.0000635994536926503,0.00115052403657517,,
post88_w,1,0.00685030476147901,0.00103948764945285,0.00481294640617723,0.0088876631167808,,
