term,coef,exp_coef,robust_se,robust se,z,p,rel_year,hr,ci_lo,ci_hi,pct_change,pct_ci_lo,pct_ci_hi,log_ci_lo,log_ci_hi,period,pooled
ry_pool_pre,1.45407291988644,4.28051324682406,0.24932252842068,0.493947424702812,2.94378074905703,0.00324229602284178,-4,4.28051324682406,2.62583978816666,6.97787951070278,328.051324682406,162.583978816666,597.787951070278,0.965400764181902,1.94274507559097,Pre,1
ry_m3,0.581660027996566,1.7890057667971,0.416650641422904,0.553734738522261,1.05043080654255,0.29352008808877,-3,1.7890057667971,0.790590432949751,4.04829289635065,78.9005766797095,-20.9409567050249,304.829289635065,-0.234975229192326,1.39829528518546,Pre,0
ry_m2,0.748792321093873,2.11444490353697,0.298915274798929,0.475950827548944,1.57325563430578,0.115659637776645,-2,2.11444490353697,1.17694062680255,3.7987279462344,111.444490353697,17.694062680255,279.87279462344,0.162918382487973,1.33466625969977,Pre,0
ref_year_m1,0,,0,,,,-1,1,1,1,0,0,0,0,0,Ref,0
ry_0,0.994124789465767,2.70235817364223,0.21881604821085,0.390650394731342,2.54479402266941,0.0109342215304162,0,2.70235817364223,1.75987948974946,4.14956804780457,170.235817364223,75.9879489749456,314.956804780457,0.565245334972501,1.42300424395903,Post,0
ry_1,0.802186172474624,2.23041166700881,0.244329687815668,0.391016657917902,2.0515396370736,0.0402144237242347,1,2.23041166700881,1.38167977105894,3.60049868900976,123.041166700881,38.1679771058941,260.049868900976,0.323299984355914,1.28107236059333,Post,0
ry_2,0.693548524265462,2.00080284850935,0.249023914322577,0.319892100731983,2.16807017953389,0.0301533473301805,2,2.00080284850935,1.22809188542853,3.25970074886235,100.080284850935,22.8091885428528,225.970074886235,0.205461652193211,1.18163539633771,Post,0
ry_3,0.092022523594829,1.09638951643596,0.211659735452866,0.287408746282199,0.320179969417056,0.748831906676798,3,1.09638951643596,0.724096536416824,1.66009628729767,9.63895164359561,-27.5903463583176,66.0096287297666,-0.322830557892789,0.506875605082446,Post,0
ry_4,0.188199358203832,1.20707413149515,0.212160153904289,0.3672792266851,0.512414927199766,0.608360646096973,4,1.20707413149515,0.796415261833014,1.8294827193182,20.7074131495154,-20.3584738166986,82.9482719318201,-0.227634543448574,0.604033259856237,Post,0
ry_5,1.03017400108637,2.80155326560284,0.16001804690416,0.344641369547083,2.98911881194123,0.00279783313064113,5,2.80155326560284,2.04733434840902,3.83361941155784,180.155326560284,104.733434840902,283.361941155784,0.71653862915422,1.34380937301853,Post,0
ry_6,-0.178225354794808,0.83675383575103,0.218535932099468,0.306534575292538,-0.581420071862108,0.560957372885066,6,0.83675383575103,0.545225514566741,1.28416033904876,-16.324616424897,-45.4774485433259,28.4160339048763,-0.606555781709764,0.250105072120149,Post,0
ry_7,0.699504777971301,2.01275569965988,0.171136512461043,0.29220439232372,2.39388864899865,0.016670809018115,7,2.01275569965988,1.4391853344734,2.81491577872119,101.275569965988,43.9185334473405,181.491577872119,0.364077213547657,1.03493234239495,Post,0
ry_8,0.80052108463533,2.22670092587776,0.159152741332257,0.295833673998277,2.70598364890669,0.00681023990921874,8,2.22670092587776,1.63000276579521,3.04183349706526,122.670092587776,63.0002765795206,204.183349706526,0.488581711624106,1.11246045764655,Post,0
ry_9,0.267170640836534,1.30626332918088,0.179024035072236,0.303071962296631,0.881541924274214,0.378024572870459,9,1.30626332918088,0.919691981325568,1.85532104205515,30.626332918088,-8.03080186744321,85.5321042055149,-0.0837164679050486,0.618057749578116,Post,0
ry_10,0.103819059480447,1.10939970139555,0.183493955902058,0.266445467858654,0.389644681573349,0.696799307246,10,1.10939970139555,0.774274285538298,1.58957583952418,10.9399701395545,-22.5725714461702,58.957583952418,-0.255829094087586,0.463467213048481,Post,0
ry_11,-0.330650292646123,0.71845637459143,0.231017892418908,0.282075795738994,-1.1722037042557,0.241115281567954,11,0.71845637459143,0.45682935438725,1.12991767545984,-28.154362540857,-54.317064561275,12.9917675459841,-0.783445361787183,0.122144776494936,Post,0
ry_12,-0.00285210883775516,0.997151954560653,0.173010460409765,0.273025284259258,-0.0104463176203376,0.991665196043779,12,0.997151954560653,0.710381868026756,1.39968665479322,-0.28480454393468,-28.9618131973244,39.9686654793223,-0.341952611240895,0.336248393565385,Post,0
ry_13,-0.0576744738840443,0.943957180142431,0.178723371102951,0.341420053905295,-0.168925267348363,0.865855424332344,13,0.943957180142431,0.664997311463937,1.33993798558503,-5.6042819857569,-33.5002688536063,33.9937985585032,-0.407972281245828,0.29262333347774,Post,0
ry_14,0.256984190169154,1.29302468409622,0.162069924613788,0.245100844644788,1.04848349479002,0.29441590282125,14,1.29302468409622,0.9411310690881,1.77649308220386,29.3024684096221,-5.88689309118997,77.6493082203859,-0.0606728620738707,0.574641242412179,Post,0
ry_pool_post,0.69729708523457,2.00831705490561,0.0643313788422259,0.292276965662999,2.3857408114691,0.0170447590911485,15,2.00831705490561,1.7704036699529,2.27820211936866,100.831705490561,77.0403669952897,127.820211936866,0.571207582703807,0.823386587765333,Post,1
