get,texas_share
-8,0.174768654093944
-7,0.162296714238301
-6,0.162923642302981
-5,0.170934411500449
-4,0.178323388437836
-3,0.183190033339182
-2,0.184925640426692
-1,0.184878419452888
0,0.184331444325318
1,0.182433495986148
2,0.181940700808625
3,0.182873499244653
4,0.182528180354267
5,0.181153466973382
6,0.180420982292015
7,0.180842069665201
8,0.181332414030854
11,0.179522246535376
12,0.180154232091424
15,0.185059587249298
16,0.187039764359352
19,0.194995001895833
9,0.180262809771585
10,0.179286804994162
13,0.181697612732096
14,0.18314455749664
17,0.189086548071157
18,0.190284216891756
