counterfactual,total_n,pop_weighted_dV,pop_weighted_dP_M,pop_weighted_dP_E,pop_weighted_dP_R,d_leak_cost_per_facyear,baseline_leak_cost
A_TX_stays_FF,2282735,-0.256368445526967,-0.0130803472106924,0.0131102052932119,-3.00664685125518e-05,-0.00561544579832701,0.386814632503885
B_Pigouvian_internalizeE,2282735,-0.0174355762276392,-0.000495624288408431,0.00049021015141924,5.13466521519137e-06,-0.000222186268215919,0.386814632503885
C_KSW_subsidy_50pct,2282735,0.323695709620258,-0.0154688147244424,-0.00811115708130817,0.0235778827678202,-0.00674550022148856,0.386814632503885
D_K_tax_50pct,2282735,-0.0404201498640885,0.00197175627043874,0.000701825573270659,-0.00267536553301194,0.000672032457315522,0.386814632503885
