model,coef,exp_coef,se,z,p,n_events,n_obs
Calendar Origin (TWFE Analogue),-0.12613501154078,0.881495826639304,0.0103718668192545,-1.20863871678576,0.226801675175673,216425,3865509
Age Origin (Robustness),-0.322353858121109,0.724441795356299,0.0108772571416918,-2.96738352942363,0.00300346050680537,189794,3762421
