tank_panel_id,panel_id
93279_TX_2,93279_TX
93279_TX_3,93279_TX
94245_TX_1,94245_TX
94423_TX_4,94423_TX
94610_TX_2,94610_TX
94610_TX_3,94610_TX
94644_TX_1,94644_TX
94644_TX_2,94644_TX
94644_TX_3,94644_TX
94824_TX_1,94824_TX
94824_TX_2,94824_TX
94824_TX_3,94824_TX
95313_TX_1,95313_TX
95313_TX_2,95313_TX
95591_TX_2,95591_TX
96554_TX_1,96554_TX
96643_TX_1,96643_TX
96643_TX_2,96643_TX
96643_TX_3,96643_TX
97392_TX_1,97392_TX
98704_TX_1,98704_TX
98704_TX_2,98704_TX
98704_TX_3,98704_TX
