Group,N_facilities,Mean_age_1998,SD_age_1998,Pct_single_wall,Mean_tanks_fac,Pct_pre_1965
Control,31901,5.8,3,58.1,2.4,0
Texas,6395,5.7,2.9,70.8,2.3,0
