Model,Estimate,SE,t_stat,p_value,N_obs
Simple DiD,-0.0073,0.0083,-0.88,0.3913,319961
+ Age Control,0.0016,0.0074,0.215,0.8326,319117
Age HTE,-0.0174,0.007,-2.47,0.0244,319117
