panel_id,panel_year,n_active,sw,fac_mixed,age_rank,cap_rank,is_oldest,is_smallest
0500850_OK,1986,3,TRUE,FALSE,0.5,0,TRUE,TRUE
0500990_OK,1998,3,TRUE,FALSE,0.75,0.5,TRUE,TRUE
0501473_OK,2017,5,TRUE,FALSE,1,1,TRUE,FALSE
0501513_OK,1991,2,TRUE,FALSE,0.5,0,TRUE,TRUE
0503248_OK,1998,4,TRUE,FALSE,0.833333333333333,0.666666666666667,TRUE,FALSE
0504029_OK,1990,3,TRUE,FALSE,1,0,TRUE,TRUE
0506007_OK,1990,6,TRUE,FALSE,0.5,1,TRUE,FALSE
0506211_OK,1995,3,TRUE,FALSE,1,0,TRUE,TRUE
0508065_OK,1988,3,TRUE,FALSE,0.25,0,FALSE,TRUE
0509947_OK,2003,7,TRUE,FALSE,0.583333333333333,0.666666666666667,TRUE,FALSE
0513423_OK,1998,3,TRUE,FALSE,1,0,TRUE,TRUE
0513685_OK,2011,6,TRUE,FALSE,0.5,0.9,TRUE,FALSE
06000010_AR,1993,3,TRUE,FALSE,0.75,0.75,TRUE,FALSE
06000030_AR,1991,4,TRUE,FALSE,0.5,0,TRUE,TRUE
06000032_AR,1988,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
06000034_AR,2001,4,TRUE,TRUE,0.666666666666667,0,TRUE,TRUE
0602149_OK,1997,4,TRUE,FALSE,0.166666666666667,0.166666666666667,FALSE,TRUE
0602155_OK,1999,3,TRUE,FALSE,0.5,0.25,TRUE,TRUE
0602155_OK,2017,2,TRUE,FALSE,0.5,0,TRUE,TRUE
0603673_OK,1992,3,TRUE,FALSE,1,0.5,TRUE,FALSE
0607507_OK,1999,4,TRUE,FALSE,1,0,TRUE,TRUE
0607617_OK,1994,2,TRUE,FALSE,1,1,TRUE,FALSE
0609742_OK,1997,4,TRUE,FALSE,0,1,FALSE,FALSE
0610230_OK,1990,8,TRUE,FALSE,0.928571428571429,0.642857142857143,TRUE,FALSE
0619358_OK,1993,6,TRUE,FALSE,0.5,0.6,TRUE,FALSE
07000010_AR,1993,5,TRUE,FALSE,0.875,0.625,TRUE,FALSE
0701449_OK,1995,5,TRUE,FALSE,0.125,0,FALSE,TRUE
0702053_OK,2008,3,TRUE,FALSE,1,0.75,TRUE,FALSE
0702544_OK,1997,3,TRUE,FALSE,0,1,FALSE,FALSE
0703808_OK,1990,3,TRUE,FALSE,1,0,TRUE,TRUE
0704097_OK,1996,9,TRUE,FALSE,0.9375,0.0625,TRUE,TRUE
0704097_OK,1999,8,TRUE,FALSE,1,0,TRUE,TRUE
0708398_OK,1986,2,TRUE,FALSE,1,0,TRUE,TRUE
0708403_OK,1988,4,TRUE,FALSE,0.833333333333333,0.333333333333333,TRUE,FALSE
0708404_OK,1988,5,TRUE,FALSE,0.875,0.125,TRUE,TRUE
0710031_OK,1999,3,TRUE,FALSE,0.75,0,TRUE,TRUE
0711053_OK,2008,5,TRUE,FALSE,0.5,0.75,TRUE,FALSE
0711710_OK,2000,6,TRUE,FALSE,0.1,0.8,FALSE,FALSE
08000026_AR,1996,3,TRUE,FALSE,0.5,0,TRUE,TRUE
08000055_AR,1999,2,TRUE,FALSE,0.5,1,TRUE,FALSE
0800063_OK,1989,4,TRUE,FALSE,1,1,TRUE,FALSE
08001511_AR,2011,4,TRUE,FALSE,0,0,FALSE,TRUE
0800228_OK,1990,4,TRUE,FALSE,1,0.333333333333333,TRUE,FALSE
0801367_OK,1986,3,TRUE,FALSE,0.75,0.5,TRUE,FALSE
0801505_OK,1992,2,TRUE,FALSE,0,1,FALSE,FALSE
0802303_OK,2001,5,TRUE,FALSE,1,0.125,TRUE,TRUE
0802303_OK,2016,4,TRUE,FALSE,0.5,0,TRUE,TRUE
0804041_OK,1990,3,TRUE,FALSE,1,0,TRUE,TRUE
0804411_OK,1998,2,TRUE,FALSE,1,0,TRUE,TRUE
0805399_OK,1998,4,TRUE,FALSE,0.666666666666667,0.166666666666667,FALSE,TRUE
0805503_OK,1993,2,TRUE,FALSE,0,1,FALSE,FALSE
0805981_OK,1997,6,TRUE,FALSE,0.5,0.9,TRUE,FALSE
0805981_OK,1999,7,TRUE,FALSE,0.666666666666667,0,TRUE,TRUE
0808661_OK,1991,4,TRUE,FALSE,0,0,FALSE,TRUE
0809497_OK,1999,5,TRUE,FALSE,0.875,0,TRUE,TRUE
0809497_OK,2010,4,TRUE,FALSE,1,0,TRUE,TRUE
0810269_OK,2013,4,TRUE,FALSE,0.333333333333333,0.166666666666667,FALSE,TRUE
0812480_OK,1999,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
0812583_OK,1994,6,TRUE,FALSE,0.8,0,TRUE,TRUE
0812583_OK,1998,2,TRUE,FALSE,0,1,FALSE,FALSE
09000005_AR,1998,3,TRUE,FALSE,0.5,0.25,TRUE,TRUE
09000023_AR,1990,5,TRUE,FALSE,0.875,0,TRUE,TRUE
09000023_AR,1995,4,TRUE,FALSE,0.333333333333333,0.5,FALSE,FALSE
0900005_OK,1988,5,TRUE,FALSE,0,0,FALSE,TRUE
0902814_OK,1992,4,TRUE,FALSE,0,0,FALSE,TRUE
0902815_OK,1990,3,TRUE,FALSE,0,0,FALSE,TRUE
0903920_OK,1993,4,TRUE,FALSE,0.666666666666667,0.5,FALSE,FALSE
0906333_OK,1998,4,TRUE,FALSE,1,0,TRUE,TRUE
0908104_OK,1991,3,TRUE,FALSE,1,0.5,TRUE,TRUE
0908104_OK,1993,2,TRUE,FALSE,1,0.5,TRUE,TRUE
0908630_OK,1998,4,TRUE,FALSE,0.5,0.333333333333333,TRUE,TRUE
0908633_OK,1998,4,TRUE,FALSE,0.5,0,TRUE,TRUE
0909162_OK,1990,3,TRUE,FALSE,0.75,0.5,TRUE,TRUE
0909162_OK,1991,2,TRUE,FALSE,1,0.5,TRUE,TRUE
0909229_OK,1996,3,TRUE,FALSE,0.5,0,TRUE,TRUE
0911157_OK,2007,4,TRUE,FALSE,0.5,0.5,TRUE,TRUE
0912709_OK,2005,6,TRUE,FALSE,0.5,0,TRUE,TRUE
10000024_AR,1991,4,TRUE,FALSE,0.666666666666667,0,TRUE,TRUE
10000044_AR,1998,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10000058_AR,1991,5,TRUE,FALSE,0.625,0.25,TRUE,FALSE
10000105_AR,1998,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
1000753_OK,1993,2,TRUE,FALSE,1,0,TRUE,TRUE
1000753_OK,1986,2,TRUE,FALSE,0.5,0,TRUE,TRUE
1000839_OK,1999,3,TRUE,FALSE,0.5,0.25,TRUE,TRUE
1000839_OK,2019,2,TRUE,FALSE,0.5,1,TRUE,FALSE
1000845_OK,1989,3,TRUE,FALSE,0.5,0,TRUE,TRUE
1000846_OK,1986,5,TRUE,FALSE,0.5,1,TRUE,FALSE
1000846_OK,1987,4,TRUE,FALSE,0.5,0.5,TRUE,TRUE
1002884_OK,2012,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10033_ME,1987,2,TRUE,FALSE,1,0.5,TRUE,TRUE
10033_ME,1991,2,TRUE,FALSE,1,0.5,TRUE,TRUE
10035_LA,1997,4,TRUE,FALSE,0.5,0,TRUE,TRUE
10038_LA,1992,6,TRUE,FALSE,0.6,0,TRUE,TRUE
10039_CO,2007,2,FALSE,FALSE,1,0,TRUE,TRUE
10040_TN,1995,2,TRUE,FALSE,0,0,FALSE,TRUE
10040_TN,1996,2,TRUE,TRUE,1,0.5,TRUE,TRUE
1004400_OK,1998,5,TRUE,FALSE,0.625,0,TRUE,TRUE
10045_ME,2001,5,FALSE,FALSE,0,0.25,FALSE,FALSE
10048_LA,1991,2,TRUE,TRUE,1,0,TRUE,TRUE
10050_ME,1986,2,TRUE,FALSE,0.5,0,TRUE,TRUE
1005161_OK,2007,4,TRUE,FALSE,0.166666666666667,0.833333333333333,FALSE,FALSE
1005163_OK,1998,4,TRUE,FALSE,1,0.166666666666667,TRUE,TRUE
10062_CO,1992,5,TRUE,FALSE,1,0,TRUE,TRUE
1006312_OK,1998,5,TRUE,FALSE,0.75,0,TRUE,TRUE
1006312_OK,2011,4,TRUE,FALSE,0,0.666666666666667,FALSE,FALSE
