spec,did_coef,crve_se,crve_p,n_obs,pct_change_vs_A2
A2: Full panel | cell x year FE,0.0190224424489701,0.00589862870423417,0.00497377015041297,12061066,0
A3: Pop Weighted| cell x year FE,0.0185817304000122,0.00555346030173599,0.00383019109514795,12061066,-2.31680053778652
B2: PSM (birth) | cell x year FE,0.00784943991938788,0.0029306832598975,0.0158754100879084,1840474,-58.7358987130864
C2: CEM (birth) | cell x year FE,0.00858219156414819,0.00338763851032554,0.0214295180190601,4723750,-54.8838610647875
