state,size_lab,age_bin,mean_prem,n
MA,4+ tanks,5,959.5,3844
MA,4+ tanks,6,961.9,3110
MA,4+ tanks,7,972.7,1588
MA,4+ tanks,8,965.6,794
ME,1 tank,1,35,591
ME,1 tank,2,35,1665
ME,1 tank,3,35,2705
ME,1 tank,4,35,2435
ME,1 tank,5,35,1931
ME,1 tank,6,35,1212
ME,1 tank,7,35,767
ME,1 tank,8,35,1023
ME,2 tanks,1,70,168
ME,2 tanks,2,70,670
ME,2 tanks,3,70,1368
ME,2 tanks,4,70,1273
ME,2 tanks,5,70,909
ME,2 tanks,6,70,538
ME,2 tanks,7,70,324
ME,2 tanks,8,70,518
ME,3 tanks,1,105,79
ME,3 tanks,2,105,371
ME,3 tanks,3,105,1161
ME,3 tanks,4,105,1380
ME,3 tanks,5,105,1046
ME,3 tanks,6,105,763
ME,3 tanks,7,105,325
ME,3 tanks,8,105,321
ME,4+ tanks,2,152.8,101
ME,4+ tanks,3,152.9,580
ME,4+ tanks,4,152.7,734
ME,4+ tanks,5,152.1,606
ME,4+ tanks,6,151.2,436
ME,4+ tanks,7,156.6,160
ME,4+ tanks,8,151.3,133
MN,1 tank,1,0,2154
MN,1 tank,2,0,3572
MN,1 tank,3,0,4451
MN,1 tank,4,0,4382
MN,1 tank,5,0,3390
MN,1 tank,6,0,2168
MN,1 tank,7,0,1267
MN,1 tank,8,0,2571
MN,2 tanks,1,0,1997
MN,2 tanks,2,0,3578
MN,2 tanks,3,0,4569
MN,2 tanks,4,0,4662
MN,2 tanks,5,0,3937
MN,2 tanks,6,0,2382
MN,2 tanks,7,0,1188
MN,2 tanks,8,0,1375
MN,3 tanks,1,0,1400
MN,3 tanks,2,0,3052
MN,3 tanks,3,0,4923
MN,3 tanks,4,0,5405
MN,3 tanks,5,0,4785
MN,3 tanks,6,0,3244
MN,3 tanks,7,0,1699
MN,3 tanks,8,0,807
MN,4+ tanks,1,0,1448
MN,4+ tanks,2,0,2950
MN,4+ tanks,3,0,4809
MN,4+ tanks,4,0,5468
MN,4+ tanks,5,0,4768
MN,4+ tanks,6,0,3234
MN,4+ tanks,7,0,1648
MN,4+ tanks,8,0,634
MO,1 tank,1,150,741
MO,1 tank,2,150,1261
MO,1 tank,3,150,2128
MO,1 tank,4,150,3753
MO,1 tank,5,150,5667
MO,1 tank,6,150,7143
MO,1 tank,7,150,7701
MO,1 tank,8,150,26276
MO,2 tanks,1,300,2389
MO,2 tanks,2,300,3222
MO,2 tanks,3,300,3810
MO,2 tanks,4,300,4847
MO,2 tanks,5,300,5582
MO,2 tanks,6,300,6225
MO,2 tanks,7,300,6689
MO,2 tanks,8,300,16202
MO,3 tanks,1,450,1105
MO,3 tanks,2,450,1881
MO,3 tanks,3,450,3227
MO,3 tanks,4,450,4533
MO,3 tanks,5,450,5594
MO,3 tanks,6,450,6377
MO,3 tanks,7,450,6957
MO,3 tanks,8,450,13536
MO,4+ tanks,1,647.6,451
MO,4+ tanks,2,656.4,675
MO,4+ tanks,3,658.9,2006
MO,4+ tanks,4,673.3,3808
MO,4+ tanks,5,684.1,5565
MO,4+ tanks,6,690.7,7197
MO,4+ tanks,7,683.3,7667
MO,4+ tanks,8,669.9,12915
NC,1 tank,1,369.6,1990
NC,1 tank,2,369.6,4441
NC,1 tank,3,369.6,5474
NC,1 tank,4,369.6,5359
NC,1 tank,5,369.6,4742
NC,1 tank,6,369.6,3131
NC,1 tank,7,369.6,1835
NC,1 tank,8,369.6,4541
NC,2 tanks,1,739.2,3068
NC,2 tanks,2,739.2,5435
NC,2 tanks,3,739.2,6241
NC,2 tanks,4,739.2,5978
NC,2 tanks,5,739.2,5082
NC,2 tanks,6,739.2,3915
NC,2 tanks,7,739.2,2744
NC,2 tanks,8,739.2,6060
NC,3 tanks,1,1108.9,1904
NC,3 tanks,2,1108.9,4197
NC,3 tanks,3,1108.9,6554
NC,3 tanks,4,1108.9,7257
NC,3 tanks,5,1108.9,7465
NC,3 tanks,6,1108.9,6837
NC,3 tanks,7,1108.9,5493
NC,3 tanks,8,1108.9,7862
NC,4+ tanks,1,1581.6,1280
NC,4+ tanks,2,1610.5,2995
NC,4+ tanks,3,1647.2,6688
NC,4+ tanks,4,1665.1,9702
NC,4+ tanks,5,1678.9,10440
NC,4+ tanks,6,1696.4,10268
NC,4+ tanks,7,1699.4,9000
NC,4+ tanks,8,1681.1,8827
OH,1 tank,1,432.7,2035
OH,1 tank,2,432.7,4036
OH,1 tank,3,432.7,6622
OH,1 tank,4,432.7,6796
OH,1 tank,5,432.7,5882
OH,1 tank,6,432.7,4408
OH,1 tank,7,432.7,2640
OH,1 tank,8,432.7,3044
OH,2 tanks,1,865.4,2576
OH,2 tanks,2,865.4,5020
OH,2 tanks,3,865.4,7130
OH,2 tanks,4,865.4,7370
OH,2 tanks,5,865.4,6163
OH,2 tanks,6,865.4,4214
OH,2 tanks,7,865.4,2151
OH,2 tanks,8,865.4,1802
OH,3 tanks,1,1298.1,3466
OH,3 tanks,2,1298.1,5866
OH,3 tanks,3,1298.1,8347
OH,3 tanks,4,1298.1,9148
OH,3 tanks,5,1298.1,8354
OH,3 tanks,6,1298.1,6606
OH,3 tanks,7,1298.1,4690
OH,3 tanks,8,1298.1,3886
OH,4+ tanks,1,1941.9,2667
OH,4+ tanks,2,1922.6,4889
OH,4+ tanks,3,1923,8773
OH,4+ tanks,4,1919.2,10298
OH,4+ tanks,5,1912.4,9026
OH,4+ tanks,6,1914.9,7131
OH,4+ tanks,7,1896.3,4497
OH,4+ tanks,8,1858.9,2474
OK,1 tank,1,0,1398
OK,1 tank,2,0,2064
OK,1 tank,3,0,2413
OK,1 tank,4,0,2984
OK,1 tank,5,0,2966
OK,1 tank,6,0,2745
OK,1 tank,7,0,2644
OK,1 tank,8,0,7427
OK,2 tanks,1,0,2801
OK,2 tanks,2,0,3980
OK,2 tanks,3,0,4381
OK,2 tanks,4,0,4890
OK,2 tanks,5,0,4945
OK,2 tanks,6,0,4252
OK,2 tanks,7,0,3720
OK,2 tanks,8,0,7116
OK,3 tanks,1,0,965
OK,3 tanks,2,0,1904
OK,3 tanks,3,0,3171
OK,3 tanks,4,0,5143
OK,3 tanks,5,0,6256
OK,3 tanks,6,0,6170
OK,3 tanks,7,0,5194
OK,3 tanks,8,0,6470
OK,4+ tanks,1,0,655
OK,4+ tanks,2,0,831
OK,4+ tanks,3,0,1454
OK,4+ tanks,4,0,2431
OK,4+ tanks,5,0,2867
OK,4+ tanks,6,0,2814
OK,4+ tanks,7,0,2495
OK,4+ tanks,8,0,3866
SD,1 tank,1,0,211
SD,1 tank,2,0,344
SD,1 tank,3,0,512
SD,1 tank,4,0,869
SD,1 tank,5,0,1564
SD,1 tank,6,0,2115
SD,1 tank,7,0,2257
SD,1 tank,8,0,6910
