Model,Estimate,Std_Error,t_stat,p_value_conv,p_value_webb,CI_low_webb,CI_high_webb,N_obs
6-bin (headline),-0.0052,0.0057,-0.907,0.3758,,,,3862756
3-bin (coarse),-0.0055,0.0058,-0.951,0.3535,,,,3862756
2-bin (binary),-0.0065,0.0057,-1.141,0.2682,,,,2848365
