age_bin_yr,Control,Texas
,0.0284329262608371,0.0382244143033292
"[0,1)",0.0029831266896616,0.00287710645293876
"[1,2)",0.0905192504894192,0.115495273325113
"[2,3)",0.0928498182157174,0.134812988080559
"[3,4)",0.100027966812716,0.127825729551993
"[4,5)",0.108418010627389,0.116728318947801
"[5,6)",0.101426307448494,0.0978216193999178
"[6,7)",0.106926447282558,0.102342786683107
"[7,8)",0.152792020136105,0.105630908343609
"[8,9)",0.201361051552158,0.146321413892314
"[9,10)",0.0142630744849445,0.0119194410193177
